loc,length,bug type,approach
4,3,Safe,Etherscan
7,3,Safe,Etherscan
10,3,Safe,Etherscan
14,3,Safe,Etherscan
17,3,Safe,Etherscan
20,3,Safe,Etherscan
23,3,Safe,Etherscan
30,3,Safe,Etherscan
33,3,Safe,Etherscan
36,3,Safe,Etherscan
39,3,Safe,Etherscan
58,11,Safe,Etherscan
88,4,Reentrancy,Etherscan
93,8,Safe,Etherscan
102,8,Safe,Etherscan
111,8,Safe,Etherscan
120,10,Safe,Etherscan
131,10,Safe,Etherscan
142,10,Safe,Etherscan
171,4,Safe,Etherscan
176,7,Safe,Etherscan
184,7,Safe,Etherscan
192,4,Safe,Etherscan
197,11,Safe,Etherscan
220,13,Safe,Etherscan
243,3,Safe,Etherscan
247,2,Safe,Etherscan
251,13,Safe,Etherscan
265,20,Safe,Etherscan
287,10,Safe,Etherscan
309,3,Safe,Etherscan
315,6,Safe,Etherscan
335,4,Safe,Etherscan
340,12,Safe,Etherscan
356,4,Safe,Etherscan
361,4,Safe,Etherscan
366,4,Safe,Etherscan
371,4,Safe,Etherscan
376,4,Safe,Etherscan
381,4,Safe,Etherscan
