loc,length,bug type,approach
6,3,Safe,Etherscan
10,4,Safe,Etherscan
23,4,Safe,Etherscan
29,4,Safe,Etherscan
34,4,Safe,Etherscan
48,5,Safe,Etherscan
59,31,Safe,Etherscan
180,14,Safe,Etherscan
197,9,Safe,Etherscan
208,8,Safe,Etherscan
217,7,Safe,Etherscan
225,8,Safe,Etherscan
234,8,Reentrancy,Etherscan
244,21,Safe,Etherscan
267,11,Safe,Etherscan
280,23,Safe,Etherscan
305,37,Safe,Etherscan
345,31,Safe,Etherscan
378,12,Safe,Etherscan
392,6,Safe,Etherscan
401,6,Safe,Etherscan
409,6,Safe,Etherscan
417,6,Safe,Etherscan
425,6,Safe,Etherscan
433,6,Safe,Etherscan
443,7,Safe,Etherscan
452,7,Safe,Etherscan
461,8,Safe,Etherscan
471,8,Safe,Etherscan
481,7,Safe,Etherscan
490,7,Safe,Etherscan
499,16,Safe,Etherscan
517,16,Safe,Etherscan
535,11,Safe,Etherscan
548,12,Safe,Etherscan
562,6,Safe,Etherscan
570,13,Safe,Etherscan
587,20,Safe,Etherscan
608,72,Safe,Etherscan
682,29,Safe,Etherscan
713,23,Safe,Etherscan
740,8,Safe,Etherscan
754,8,Safe,Etherscan
764,6,Safe,Etherscan
772,4,Safe,Etherscan
778,5,Safe,Etherscan
