loc,length,bug type,approach
9,12,Safe,Etherscan
23,6,Safe,Etherscan
31,4,Safe,Etherscan
37,5,Safe,Etherscan
65,3,Safe,Etherscan
70,9,Safe,Etherscan
81,3,Safe,Etherscan
95,3,Safe,Etherscan
99,10,Safe,Etherscan
137,5,Safe,Etherscan
153,5,Safe,Etherscan
160,5,Safe,Etherscan
167,6,Safe,Etherscan
175,7,Safe,Etherscan
196,6,Safe,Etherscan
204,7,Safe,Etherscan
213,6,Safe,Etherscan
221,6,Safe,Etherscan
229,5,Safe,Etherscan
266,3,Safe,Etherscan
271,4,Safe,Etherscan
277,4,Safe,Etherscan
283,3,Safe,Etherscan
288,5,Safe,Etherscan
304,18,Safe,Etherscan
324,5,Safe,Etherscan
331,10,Safe,Etherscan
343,12,Safe,Etherscan
357,16,Safe,Etherscan
386,4,Safe,Etherscan
391,4,Safe,Etherscan
397,15,Safe,Etherscan
414,5,Safe,Etherscan
429,4,Safe,Etherscan
435,3,Safe,Etherscan
440,3,Safe,Etherscan
491,18,Reentrancy,Etherscan
511,17,Reentrancy,Etherscan
530,16,Reentrancy,Etherscan
548,18,Reentrancy,Etherscan
568,18,Reentrancy,Etherscan
593,4,Safe,Etherscan
598,4,Safe,Etherscan
603,3,Safe,Etherscan
607,3,Safe,Etherscan
611,8,Safe,Etherscan
620,14,Safe,Etherscan
635,3,Safe,Etherscan
653,9,Safe,Etherscan
663,17,Safe,Etherscan
681,3,Safe,Etherscan
685,3,Safe,Etherscan
