loc,length,bug type,approach
173,24,Safe,Etherscan
202,4,Safe,Etherscan
208,8,Safe,Etherscan
218,5,Safe,Etherscan
229,16,Safe,Etherscan
247,32,Safe,Etherscan
280,40,Safe,Etherscan
321,40,Safe,Etherscan
363,31,Safe,Etherscan
395,39,Safe,Etherscan
435,39,Safe,Etherscan
476,67,Safe,Etherscan
545,15,Safe,Etherscan
561,15,Safe,Etherscan
577,15,Safe,Etherscan
597,17,Safe,Etherscan
616,19,Safe,Etherscan
637,40,Safe,Etherscan
679,7,Safe,Etherscan
688,26,Safe,Etherscan
716,25,Safe,Etherscan
747,49,Safe,Etherscan
798,46,Safe,Etherscan
846,108,Safe,Etherscan
959,7,Safe,Etherscan
968,14,Safe,Etherscan
984,17,Safe,Etherscan
1006,17,Safe,Etherscan
1025,7,Safe,Etherscan
1034,32,Safe,Etherscan
1068,10,Safe,Etherscan
1080,17,Safe,Etherscan
1099,64,Safe,Etherscan
1165,12,Safe,Etherscan
1179,19,Safe,Etherscan
1200,20,time_manipulation,Etherscan
1222,46,Reentrancy,Etherscan
1269,10,Safe,Etherscan
1281,32,Safe,Etherscan
1315,18,Safe,Etherscan
1335,18,Safe,Etherscan
1355,24,Safe,Etherscan
1385,18,Safe,Etherscan
1486,7,Safe,Etherscan
1495,7,Safe,Etherscan
1505,7,Safe,Etherscan
1514,7,Safe,Etherscan
1547,63,Safe,Etherscan
1616,12,Safe,Etherscan
1630,8,Safe,Etherscan
1640,9,Safe,Etherscan
1651,13,Safe,Etherscan
1666,7,Safe,Etherscan
1675,17,Safe,Etherscan
