loc,length,bug type,approach
21,9,Safe,Etherscan
31,4,Safe,Etherscan
36,3,Safe,Etherscan
40,8,Safe,Etherscan
49,4,Safe,Etherscan
54,9,Safe,Etherscan
64,58,Safe,Etherscan
169,3,Safe,Etherscan
242,18,Safe,Etherscan
270,5,Safe,Etherscan
282,17,Safe,Etherscan
306,38,Safe,Etherscan
347,3,Safe,Etherscan
356,12,Safe,Etherscan
374,4,Safe,Etherscan
386,13,Safe,Etherscan
402,3,Safe,Etherscan
415,22,Safe,Etherscan
441,20,Safe,Etherscan
476,23,Safe,Etherscan
508,11,Safe,Etherscan
525,11,Safe,Etherscan
544,3,Safe,Etherscan
556,22,Safe,Etherscan
583,12,Safe,Etherscan
599,8,Safe,Etherscan
609,3,Safe,Etherscan
616,4,Safe,Etherscan
629,11,Safe,Etherscan
675,21,Safe,Etherscan
704,3,Safe,Etherscan
712,7,Safe,Etherscan
735,9,Safe,Etherscan
746,9,unchecked_low_calls,Etherscan
763,13,unchecked_low_calls,Etherscan
799,4,Safe,Etherscan
805,5,Safe,Etherscan
840,3,Safe,Etherscan
981,7,Safe,Etherscan
995,5,Safe,Etherscan
1002,9,Safe,Etherscan
1018,27,Safe,Etherscan
1048,12,Safe,Etherscan
1062,29,Safe,Etherscan
1093,17,Safe,Etherscan
1112,52,Safe,Etherscan
1166,97,Safe,Etherscan
1270,4,Safe,Etherscan
1276,20,Safe,Etherscan
1303,20,Safe,Etherscan
1325,11,Safe,Etherscan
1338,7,Safe,Etherscan
1352,3,Safe,Etherscan
1357,7,Safe,Etherscan
1366,6,Safe,Etherscan
1374,3,Safe,Etherscan
1384,3,Safe,Etherscan
1389,3,Safe,Etherscan
1394,3,Safe,Etherscan
1399,3,Safe,Etherscan
1404,3,Safe,Etherscan
1409,3,Safe,Etherscan
1414,17,Safe,Etherscan
1433,4,Safe,Etherscan
1439,14,Safe,Etherscan
1459,3,unchecked_low_calls,Etherscan
1464,3,Safe,Etherscan
1469,3,Safe,Etherscan
1474,3,Safe,Etherscan
1479,3,Safe,Etherscan
1484,3,Safe,Etherscan
1489,3,Safe,Etherscan
1494,3,Safe,Etherscan
1499,3,Safe,Etherscan
