loc,length,bug type,approach
166,26,Safe,Etherscan
197,4,Safe,Etherscan
203,10,Safe,Etherscan
215,4,Safe,Etherscan
224,16,Safe,Etherscan
242,32,Safe,Etherscan
275,40,Safe,Etherscan
316,40,Safe,Etherscan
358,31,Safe,Etherscan
390,39,Safe,Etherscan
430,39,Safe,Etherscan
471,67,Safe,Etherscan
540,15,Safe,Etherscan
556,15,Safe,Etherscan
572,15,Safe,Etherscan
592,19,Safe,Etherscan
613,20,Safe,Etherscan
635,70,Safe,Etherscan
707,7,Safe,Etherscan
716,47,Safe,Etherscan
765,40,Safe,Etherscan
811,25,Safe,Etherscan
838,27,Safe,Etherscan
867,54,Safe,Etherscan
923,105,Safe,Etherscan
1033,18,Safe,Etherscan
1053,7,Safe,Etherscan
1062,10,Safe,Etherscan
1074,16,Safe,Etherscan
1092,19,Safe,Etherscan
1116,17,Safe,Etherscan
1135,7,Safe,Etherscan
1144,32,Safe,Etherscan
1178,10,Safe,Etherscan
1190,45,Safe,Etherscan
1237,59,Safe,Etherscan
1298,21,Safe,Etherscan
1321,12,Safe,Etherscan
1335,15,Safe,Etherscan
1352,20,time_manipulation,Etherscan
1374,49,Reentrancy,Etherscan
1424,10,Safe,Etherscan
1436,32,Safe,Etherscan
1470,18,Safe,Etherscan
1490,18,Safe,Etherscan
1510,24,Safe,Etherscan
1540,17,Safe,Etherscan
1642,7,Safe,Etherscan
1651,7,Safe,Etherscan
1660,7,Safe,Etherscan
1669,7,Safe,Etherscan
1711,63,Safe,Etherscan
1780,12,Safe,Etherscan
1794,8,Safe,Etherscan
1804,9,Safe,Etherscan
1815,13,Safe,Etherscan
1830,7,Safe,Etherscan
1839,17,Safe,Etherscan
