loc,length,bug type,approach
8,3,Safe,Etherscan
12,4,Safe,Etherscan
25,4,Safe,Etherscan
31,4,Safe,Etherscan
36,4,Safe,Etherscan
50,5,time_manipulation,Etherscan
56,7,time_manipulation,Etherscan
73,5,Safe,Etherscan
161,14,Safe,Etherscan
178,7,Safe,Etherscan
187,6,Safe,Etherscan
194,8,Reentrancy,Etherscan
205,21,Safe,Etherscan
228,12,Safe,Etherscan
242,22,Safe,Etherscan
266,33,Safe,Etherscan
302,36,Safe,Etherscan
339,13,Safe,Etherscan
353,6,Safe,Etherscan
361,7,Safe,Etherscan
373,6,Safe,Etherscan
381,6,Safe,Etherscan
389,6,Safe,Etherscan
396,6,Safe,Etherscan
404,6,Safe,Etherscan
412,6,Safe,Etherscan
419,6,Safe,Etherscan
428,7,Safe,Etherscan
437,7,Safe,Etherscan
446,8,Safe,Etherscan
456,8,Safe,Etherscan
466,7,Safe,Etherscan
475,7,Safe,Etherscan
484,18,Safe,Etherscan
504,17,Safe,Etherscan
523,13,Safe,Etherscan
538,13,Safe,Etherscan
552,6,Safe,Etherscan
560,7,Safe,Etherscan
568,73,Safe,Etherscan
643,29,Safe,Etherscan
674,23,Safe,Etherscan
701,8,Safe,Etherscan
715,8,Safe,Etherscan
725,6,Safe,Etherscan
733,4,Safe,Etherscan
739,5,Safe,Etherscan
