loc,length,bug type,approach
29,8,Safe,Etherscan
38,3,Safe,Etherscan
42,4,Safe,Etherscan
47,5,Safe,Etherscan
62,3,Safe,Etherscan
66,9,Safe,Etherscan
76,3,Safe,Etherscan
90,5,Safe,Etherscan
111,4,Safe,Etherscan
116,4,Safe,Etherscan
134,3,Safe,Etherscan
139,4,Safe,Etherscan
145,4,Safe,Etherscan
151,3,Safe,Etherscan
156,5,Safe,Etherscan
166,4,Safe,Etherscan
171,4,Safe,Etherscan
176,4,Safe,Etherscan
181,4,Safe,Etherscan
186,4,Safe,Etherscan
191,4,Safe,Etherscan
196,4,Safe,Etherscan
283,9,Safe,Etherscan
297,9,Reentrancy,Etherscan
308,8,Safe,Etherscan
319,31,time_manipulation,Etherscan
352,16,time_manipulation,Etherscan
370,17,time_manipulation,Etherscan
389,13,time_manipulation,Etherscan
420,11,Safe,Etherscan
435,6,Safe,Etherscan
444,10,Safe,Etherscan
455,2,Safe,Etherscan
461,2,Safe,Etherscan
465,11,Safe,Etherscan
479,14,Safe,Etherscan
495,11,Safe,Etherscan
507,7,Safe,Etherscan
515,7,Safe,Etherscan
523,7,Safe,Etherscan
532,20,Safe,Etherscan
554,5,Safe,Etherscan
561,12,Reentrancy,Etherscan
