loc,length,bug type,approach
9,12,Safe,Etherscan
23,6,Safe,Etherscan
31,4,Safe,Etherscan
37,5,Safe,Etherscan
87,3,Safe,Etherscan
92,4,Safe,Etherscan
98,4,Safe,Etherscan
104,3,Safe,Etherscan
109,5,Safe,Etherscan
120,9,Safe,Etherscan
130,10,Safe,Etherscan
141,9,Safe,Etherscan
159,4,Safe,Etherscan
214,6,Safe,Etherscan
221,16,Safe,Etherscan
238,21,Safe,Etherscan
260,6,Reentrancy,Etherscan
267,6,Reentrancy,Etherscan
274,6,Reentrancy,Etherscan
283,7,Safe,Etherscan
291,7,Safe,Etherscan
301,6,Reentrancy,Etherscan
308,6,Reentrancy,Etherscan
368,18,Safe,Etherscan
387,5,Safe,Etherscan
393,4,Reentrancy,Etherscan
398,5,Reentrancy,Etherscan
404,8,Reentrancy,Etherscan
413,9,Reentrancy,Etherscan
423,7,Reentrancy,Etherscan
431,8,Reentrancy,Etherscan
440,5,Safe,Etherscan
448,6,Safe,Etherscan
455,4,Safe,Etherscan
462,3,Safe,Etherscan
466,4,Safe,Etherscan
473,3,Safe,Etherscan
477,4,Safe,Etherscan
482,6,Safe,Etherscan
489,7,Safe,Etherscan
497,4,Safe,Etherscan
502,5,Safe,Etherscan
508,3,Safe,Etherscan
512,4,Safe,Etherscan
519,12,Safe,Etherscan
532,14,Safe,Etherscan
547,4,Safe,Etherscan
