loc,length,bug type,approach
13,3,Safe,Etherscan
18,4,Safe,Etherscan
24,5,Safe,Etherscan
36,3,Safe,Etherscan
40,3,Safe,Etherscan
44,6,Safe,Etherscan
72,4,Safe,Etherscan
79,4,Safe,Etherscan
84,4,Safe,Etherscan
89,3,Safe,Etherscan
93,3,Safe,Etherscan
97,3,Safe,Etherscan
101,19,Safe,Etherscan
121,9,Safe,Etherscan
131,11,Safe,Etherscan
143,3,Safe,Etherscan
147,3,Safe,Etherscan
151,3,Safe,Etherscan
155,3,Safe,Etherscan
159,10,Safe,Etherscan
170,3,Safe,Etherscan
174,3,Safe,Etherscan
184,8,Safe,Etherscan
194,6,Safe,Etherscan
202,4,Safe,Etherscan
208,5,Safe,Etherscan
227,12,Safe,Etherscan
272,4,Safe,Etherscan
277,3,Safe,Etherscan
281,3,Safe,Etherscan
289,5,Safe,Etherscan
295,3,Safe,Etherscan
300,16,Reentrancy,Etherscan
319,8,Safe,Etherscan
330,11,Safe,Etherscan
343,8,Safe,Etherscan
353,8,Safe,Etherscan
363,11,Safe,Etherscan
376,3,Safe,Etherscan
380,3,Safe,Etherscan
409,4,Safe,Etherscan
414,4,Safe,Etherscan
419,10,Safe,Etherscan
430,4,Safe,Etherscan
435,4,Safe,Etherscan
440,4,Safe,Etherscan
445,8,Safe,Etherscan
454,7,Safe,Etherscan
462,3,Safe,Etherscan
466,7,Safe,Etherscan
474,6,Safe,Etherscan
481,3,Safe,Etherscan
485,6,Safe,Etherscan
492,21,Safe,Etherscan
514,3,Safe,Etherscan
518,3,Safe,Etherscan
