loc,length,bug type,approach
10,3,Safe,Etherscan
14,4,Safe,Etherscan
27,4,Safe,Etherscan
33,4,Safe,Etherscan
38,4,Safe,Etherscan
52,5,Safe,Etherscan
64,31,Safe,Etherscan
177,11,Safe,Etherscan
191,9,Safe,Etherscan
202,8,Safe,Etherscan
211,7,Safe,Etherscan
219,8,Safe,Etherscan
229,8,Reentrancy,Etherscan
239,21,Safe,Etherscan
262,11,Safe,Etherscan
275,21,Safe,Etherscan
298,40,Safe,Etherscan
341,31,Safe,Etherscan
374,12,Safe,Etherscan
388,6,Safe,Etherscan
405,6,Safe,Etherscan
413,6,Safe,Etherscan
421,6,Safe,Etherscan
429,6,Safe,Etherscan
437,6,Safe,Etherscan
447,7,Safe,Etherscan
456,7,Safe,Etherscan
465,8,Safe,Etherscan
475,8,Safe,Etherscan
485,7,Safe,Etherscan
494,7,Safe,Etherscan
503,16,Safe,Etherscan
521,16,Safe,Etherscan
539,11,Safe,Etherscan
552,12,Safe,Etherscan
566,6,Safe,Etherscan
577,20,Safe,Etherscan
598,50,Safe,Etherscan
650,56,Safe,Etherscan
708,29,Safe,Etherscan
739,23,Safe,Etherscan
766,8,Safe,Etherscan
780,8,Safe,Etherscan
790,6,Safe,Etherscan
798,4,Safe,Etherscan
804,5,Safe,Etherscan
