loc,length,bug type,approach
183,29,Safe,Etherscan
217,4,Safe,Etherscan
223,8,Safe,Etherscan
233,5,Safe,Etherscan
244,16,Safe,Etherscan
262,32,Safe,Etherscan
295,40,Safe,Etherscan
336,40,Safe,Etherscan
378,31,Safe,Etherscan
410,39,Safe,Etherscan
450,39,Safe,Etherscan
491,67,Safe,Etherscan
560,15,Safe,Etherscan
576,15,Safe,Etherscan
592,15,Safe,Etherscan
612,17,Safe,Etherscan
631,19,Safe,Etherscan
652,19,Safe,Etherscan
673,40,Safe,Etherscan
715,7,Safe,Etherscan
724,26,Safe,Etherscan
752,25,Safe,Etherscan
783,49,Safe,Etherscan
834,46,Safe,Etherscan
882,108,Safe,Etherscan
995,7,Safe,Etherscan
1004,14,Safe,Etherscan
1020,17,Safe,Etherscan
1042,17,Safe,Etherscan
1061,7,Safe,Etherscan
1070,32,Safe,Etherscan
1104,10,Safe,Etherscan
1116,17,Safe,Etherscan
1135,73,Reentrancy,Etherscan
1210,12,Safe,Etherscan
1224,19,Safe,Etherscan
1245,20,time_manipulation,Etherscan
1267,69,Reentrancy,Etherscan
1337,10,Safe,Etherscan
1349,32,Safe,Etherscan
1383,18,Safe,Etherscan
1403,18,Safe,Etherscan
1423,24,Safe,Etherscan
1453,25,Safe,Etherscan
1580,7,Safe,Etherscan
1589,7,Safe,Etherscan
1598,7,Safe,Etherscan
1607,7,Safe,Etherscan
1659,63,Safe,Etherscan
1728,12,Safe,Etherscan
1742,8,Safe,Etherscan
1752,9,Safe,Etherscan
1763,13,Safe,Etherscan
1778,7,Safe,Etherscan
1787,17,Safe,Etherscan
