loc,length,bug type,approach
25,4,Safe,Etherscan
31,4,Safe,Etherscan
37,4,Safe,Etherscan
43,4,Safe,Etherscan
49,3,Safe,Etherscan
54,4,Safe,Etherscan
60,4,Safe,Etherscan
66,3,Safe,Etherscan
86,4,Safe,Etherscan
102,27,Reentrancy,Etherscan
131,3,Safe,Etherscan
136,19,Safe,Etherscan
157,7,Safe,Etherscan
166,11,Safe,Etherscan
179,16,Safe,Etherscan
197,13,Safe,Etherscan
212,8,Safe,Etherscan
222,10,Safe,Etherscan
234,7,Safe,Etherscan
285,3,Safe,Etherscan
292,6,Safe,Etherscan
300,11,Safe,Etherscan
315,4,Safe,Etherscan
321,5,Safe,Etherscan
328,13,Safe,Etherscan
343,9,Safe,Etherscan
354,12,Safe,Etherscan
368,11,Safe,Etherscan
381,6,Safe,Etherscan
400,5,Safe,Etherscan
410,5,Safe,Etherscan
417,5,Safe,Etherscan
427,3,Safe,Etherscan
462,13,Safe,Etherscan
477,7,Safe,Etherscan
486,6,Safe,Etherscan
494,6,Safe,Etherscan
502,4,Safe,Etherscan
508,9,Safe,Etherscan
539,4,Safe,Etherscan
544,3,Safe,Etherscan
549,5,Safe,Etherscan
573,5,Safe,Etherscan
580,5,Safe,Etherscan
587,5,Safe,Etherscan
594,5,Safe,Etherscan
601,4,Safe,Etherscan
607,3,Safe,Etherscan
612,3,Safe,Etherscan
617,3,Safe,Etherscan
622,8,Safe,Etherscan
632,3,Safe,Etherscan
647,6,Safe,Etherscan
655,6,Safe,Etherscan
663,3,Safe,Etherscan
668,8,Safe,Etherscan
682,4,Safe,Etherscan
713,5,Safe,Etherscan
720,11,Safe,Etherscan
733,3,Safe,Etherscan
738,8,Safe,Etherscan
748,3,Safe,Etherscan
753,6,Safe,Etherscan
761,3,Safe,Etherscan
766,3,Safe,Etherscan
771,3,Safe,Etherscan
785,14,Safe,Etherscan
801,3,Safe,Etherscan
827,4,Safe,Etherscan
833,12,Safe,Etherscan
847,15,Safe,Etherscan
864,5,Safe,Etherscan
871,5,Safe,Etherscan
878,5,Reentrancy,Etherscan
885,20,Safe,Etherscan
950,4,Safe,Etherscan
956,5,Safe,Etherscan
964,19,Safe,Etherscan
987,15,Safe,Etherscan
1004,22,Safe,Etherscan
1028,13,Safe,Etherscan
1043,18,Safe,Etherscan
1063,16,Safe,Etherscan
1081,7,Safe,Etherscan
1090,3,Safe,Etherscan
1095,3,Safe,Etherscan
1101,4,Safe,Etherscan
1109,14,Safe,Etherscan
1125,11,Safe,Etherscan
1138,3,Safe,Etherscan
1142,18,Safe,Etherscan
1161,7,Safe,Etherscan
