loc,length,bug type,approach
7,8,Safe,Etherscan
16,4,Safe,Etherscan
21,5,Safe,Etherscan
106,4,Safe,Etherscan
113,6,Safe,Etherscan
133,3,Safe,Etherscan
138,3,Safe,Etherscan
144,9,Safe,Etherscan
157,5,Safe,Etherscan
164,17,Safe,Etherscan
183,7,Safe,Etherscan
196,12,Safe,Etherscan
210,5,Safe,Etherscan
218,34,Safe,Etherscan
256,7,Safe,Etherscan
265,6,Safe,Etherscan
273,7,Safe,Etherscan
282,7,Safe,Etherscan
290,3,Safe,Etherscan
295,8,Safe,Etherscan
305,9,Safe,Etherscan
316,8,Safe,Etherscan
330,6,Safe,Etherscan
341,12,Safe,Etherscan
358,18,Safe,Etherscan
378,3,Safe,Etherscan
