loc,length,bug type,approach
42,13,Safe,Etherscan
61,9,Safe,Etherscan
71,5,Safe,Etherscan
77,5,Safe,Etherscan
103,11,Safe,Etherscan
119,34,Safe,Etherscan
154,39,Safe,Etherscan
194,39,Safe,Etherscan
235,18,Safe,Etherscan
257,14,Safe,Etherscan
276,29,Safe,Etherscan
310,6,Safe,Etherscan
318,5,Reentrancy,Etherscan
325,16,Safe,Etherscan
345,8,Safe,Etherscan
353,7,Safe,Etherscan
360,7,Safe,Etherscan
367,7,Safe,Etherscan
374,7,Safe,Etherscan
381,32,Safe,Etherscan
413,36,Safe,Etherscan
449,36,Safe,Etherscan
490,11,Safe,Etherscan
502,7,Safe,Etherscan
516,61,Safe,Etherscan
583,12,Safe,Etherscan
597,8,Safe,Etherscan
607,9,Safe,Etherscan
618,13,Safe,Etherscan
633,7,Safe,Etherscan
642,17,Safe,Etherscan
