loc,length,bug type,approach
7,8,Safe,Etherscan
16,5,Safe,Etherscan
22,4,Safe,Etherscan
27,5,Safe,Etherscan
33,4,Safe,Etherscan
173,13,Safe,Etherscan
192,4,Safe,Etherscan
197,4,Safe,Etherscan
202,7,Safe,Etherscan
320,9,unchecked_low_calls,Etherscan
330,9,unchecked_low_calls,Etherscan
343,8,Safe,Etherscan
353,8,Safe,Etherscan
363,7,Safe,Etherscan
373,8,Safe,Etherscan
387,5,Safe,Etherscan
393,3,Safe,Etherscan
397,14,Safe,Etherscan
412,14,Safe,Etherscan
433,3,Safe,Etherscan
438,3,Safe,Etherscan
443,3,Safe,Etherscan
448,3,Safe,Etherscan
453,3,Safe,Etherscan
458,4,Safe,Etherscan
464,4,Safe,Etherscan
470,4,Safe,Etherscan
476,18,Safe,Etherscan
496,12,Safe,Etherscan
510,18,Safe,Etherscan
530,26,Safe,Etherscan
562,10,Safe,Etherscan
573,98,Safe,Etherscan
672,38,Safe,Etherscan
711,61,Safe,Etherscan
773,4,Safe,Etherscan
778,32,Safe,Etherscan
811,17,Safe,Etherscan
829,6,Safe,Etherscan
836,9,Safe,Etherscan
846,24,Safe,Etherscan
871,18,Safe,Etherscan
890,9,Safe,Etherscan
900,8,Safe,Etherscan
909,22,Safe,Etherscan
932,18,Safe,Etherscan
951,12,Safe,Etherscan
966,22,Safe,Etherscan
991,30,Safe,Etherscan
1023,13,Safe,Etherscan
1038,13,Safe,Etherscan
1053,64,Safe,Etherscan
1119,21,Safe,Etherscan
1142,31,Safe,Etherscan
