loc,length,bug type,approach
13,4,Safe,Etherscan
18,6,Safe,Etherscan
25,7,Safe,Etherscan
33,7,Safe,Etherscan
41,7,Safe,Etherscan
54,4,Safe,Etherscan
59,4,Safe,Etherscan
64,7,Safe,Etherscan
88,5,Safe,Etherscan
99,17,Safe,Etherscan
117,25,Safe,Etherscan
148,13,Safe,Etherscan
162,7,Safe,Etherscan
170,19,Safe,Etherscan
227,4,Safe,Etherscan
234,14,Safe,Etherscan
251,13,Safe,Etherscan
267,37,Safe,Etherscan
306,6,Safe,Etherscan
315,18,Safe,Etherscan
350,14,Safe,Etherscan
365,10,Safe,Etherscan
377,3,Safe,Etherscan
380,3,Safe,Etherscan
383,3,Safe,Etherscan
445,8,Safe,Etherscan
460,12,Safe,Etherscan
479,5,Safe,Etherscan
486,28,Reentrancy,Etherscan
522,11,Safe,Etherscan
540,21,Safe,Etherscan
563,14,Safe,Etherscan
579,9,Safe,Etherscan
590,14,Safe,Etherscan
610,7,Safe,Etherscan
618,9,Safe,Etherscan
629,9,Safe,Etherscan
640,7,Safe,Etherscan
649,7,Safe,Etherscan
658,7,Safe,Etherscan
669,25,Safe,Etherscan
