loc,length,bug type,approach
25,4,Safe,Etherscan
31,4,Safe,Etherscan
37,4,Safe,Etherscan
43,4,Safe,Etherscan
49,3,Safe,Etherscan
54,4,Safe,Etherscan
60,4,Safe,Etherscan
66,3,Safe,Etherscan
86,4,Safe,Etherscan
102,27,Reentrancy,Etherscan
131,3,Safe,Etherscan
136,19,Safe,Etherscan
157,7,Safe,Etherscan
166,11,Safe,Etherscan
179,16,Safe,Etherscan
197,13,Safe,Etherscan
212,8,Safe,Etherscan
222,10,Safe,Etherscan
234,7,Safe,Etherscan
285,3,Safe,Etherscan
292,6,Safe,Etherscan
300,11,Safe,Etherscan
315,4,Safe,Etherscan
321,5,Safe,Etherscan
328,13,Safe,Etherscan
343,9,Safe,Etherscan
354,12,Safe,Etherscan
368,11,Safe,Etherscan
381,6,Safe,Etherscan
405,13,Safe,Etherscan
420,7,Safe,Etherscan
429,6,Safe,Etherscan
437,6,Safe,Etherscan
445,4,Safe,Etherscan
451,9,Safe,Etherscan
471,4,Safe,Etherscan
476,3,Safe,Etherscan
481,5,Safe,Etherscan
505,5,Safe,Etherscan
512,5,Safe,Etherscan
519,5,Safe,Etherscan
526,5,Safe,Etherscan
533,4,Safe,Etherscan
539,3,Safe,Etherscan
544,3,Safe,Etherscan
549,3,Safe,Etherscan
554,8,Safe,Etherscan
564,3,Safe,Etherscan
590,4,Safe,Etherscan
596,12,Safe,Etherscan
610,15,Safe,Etherscan
627,5,Safe,Etherscan
634,5,Safe,Etherscan
641,5,Reentrancy,Etherscan
648,20,Safe,Etherscan
681,5,Safe,Etherscan
691,5,Safe,Etherscan
698,5,Safe,Etherscan
708,3,Safe,Etherscan
742,4,Safe,Etherscan
773,5,Safe,Etherscan
780,11,Safe,Etherscan
793,3,Safe,Etherscan
798,8,Safe,Etherscan
808,3,Safe,Etherscan
813,6,Safe,Etherscan
821,3,Safe,Etherscan
826,3,Safe,Etherscan
831,3,Safe,Etherscan
845,3,Safe,Etherscan
850,3,Safe,Etherscan
902,4,Safe,Etherscan
908,5,Safe,Etherscan
916,19,Safe,Etherscan
939,45,Safe,Etherscan
986,14,Safe,Etherscan
1002,12,Safe,Etherscan
1016,24,Safe,Etherscan
1042,12,Safe,Etherscan
1056,3,Safe,Etherscan
1061,3,Safe,Etherscan
1066,5,Safe,Etherscan
1073,3,Safe,Etherscan
1080,4,Safe,Etherscan
1086,5,Safe,Etherscan
1093,6,Safe,Etherscan
1101,3,Safe,Etherscan
1108,14,Safe,Etherscan
1124,11,Safe,Etherscan
1137,3,Safe,Etherscan
1141,4,Safe,Etherscan
1146,7,Safe,Etherscan
