loc,length,bug type,approach
129,63,Safe,Etherscan
198,12,Safe,Etherscan
212,8,Safe,Etherscan
222,9,Safe,Etherscan
233,13,Safe,Etherscan
248,7,Safe,Etherscan
257,17,Safe,Etherscan
359,7,Safe,Etherscan
368,7,Safe,Etherscan
377,7,Safe,Etherscan
386,7,Safe,Etherscan
442,24,Safe,Etherscan
471,4,Safe,Etherscan
477,8,Safe,Etherscan
487,5,Safe,Etherscan
498,16,Safe,Etherscan
516,32,Safe,Etherscan
549,40,Safe,Etherscan
590,40,Safe,Etherscan
632,31,Safe,Etherscan
664,39,Safe,Etherscan
704,39,Safe,Etherscan
745,67,Safe,Etherscan
815,15,Safe,Etherscan
831,15,Safe,Etherscan
847,15,Safe,Etherscan
867,17,Safe,Etherscan
886,19,Safe,Etherscan
907,40,Safe,Etherscan
949,7,Safe,Etherscan
958,26,Safe,Etherscan
986,25,Safe,Etherscan
1017,49,Safe,Etherscan
1068,46,Safe,Etherscan
1116,108,Safe,Etherscan
1229,7,Safe,Etherscan
1238,14,Safe,Etherscan
1254,17,Safe,Etherscan
1276,17,Safe,Etherscan
1295,7,Safe,Etherscan
1304,32,Safe,Etherscan
1338,10,Safe,Etherscan
1350,17,Safe,Etherscan
1369,64,Safe,Etherscan
1435,12,Safe,Etherscan
1449,19,Safe,Etherscan
1470,20,time_manipulation,Etherscan
1492,52,Reentrancy,Etherscan
1545,10,Safe,Etherscan
1557,32,Safe,Etherscan
1591,18,Safe,Etherscan
1611,18,Safe,Etherscan
1631,24,Safe,Etherscan
1661,18,Safe,Etherscan
