loc,length,bug type,approach
25,4,Safe,Etherscan
31,4,Safe,Etherscan
37,4,Safe,Etherscan
43,4,Safe,Etherscan
49,3,Safe,Etherscan
54,4,Safe,Etherscan
60,4,Safe,Etherscan
66,3,Safe,Etherscan
86,4,Safe,Etherscan
102,27,Reentrancy,Etherscan
131,3,Safe,Etherscan
136,19,Safe,Etherscan
157,7,Safe,Etherscan
166,11,Safe,Etherscan
179,16,Safe,Etherscan
197,13,Safe,Etherscan
212,8,Safe,Etherscan
222,10,Safe,Etherscan
234,7,Safe,Etherscan
263,4,Safe,Etherscan
268,3,Safe,Etherscan
273,5,Safe,Etherscan
297,5,Safe,Etherscan
304,5,Safe,Etherscan
311,5,Safe,Etherscan
318,5,Safe,Etherscan
325,4,Safe,Etherscan
331,3,Safe,Etherscan
336,3,Safe,Etherscan
341,3,Safe,Etherscan
346,8,Safe,Etherscan
356,3,Safe,Etherscan
382,4,Safe,Etherscan
388,12,Safe,Etherscan
402,15,Safe,Etherscan
419,5,Safe,Etherscan
426,5,Safe,Etherscan
433,5,Reentrancy,Etherscan
440,20,Safe,Etherscan
466,9,Safe,Etherscan
481,4,Safe,Etherscan
512,5,Safe,Etherscan
519,11,Safe,Etherscan
532,3,Safe,Etherscan
537,8,Safe,Etherscan
547,3,Safe,Etherscan
552,6,Safe,Etherscan
560,3,Safe,Etherscan
565,3,Safe,Etherscan
570,3,Safe,Etherscan
578,27,Safe,Etherscan
607,8,Safe,Etherscan
617,14,Safe,Etherscan
666,4,Safe,Etherscan
672,4,Safe,Etherscan
679,13,Safe,Etherscan
696,9,Safe,Etherscan
707,8,Safe,Etherscan
717,6,Safe,Etherscan
725,4,Safe,Etherscan
732,23,Safe,Etherscan
756,13,Safe,Etherscan
