loc,length,bug type,approach
9,4,Safe,Etherscan
60,9,Safe,Etherscan
69,4,Safe,Etherscan
74,4,Safe,Etherscan
78,35,Safe,Etherscan
114,3,Safe,Etherscan
118,3,Safe,Etherscan
122,3,Safe,Etherscan
126,5,Safe,Etherscan
131,5,Safe,Etherscan
137,3,Safe,Etherscan
140,3,Safe,Etherscan
143,3,Safe,Etherscan
147,5,Safe,Etherscan
154,3,Safe,Etherscan
159,17,Safe,Etherscan
178,3,Safe,Etherscan
182,3,Safe,Etherscan
197,3,Safe,Etherscan
202,4,Safe,Etherscan
208,5,Safe,Etherscan
255,4,Safe,Etherscan
260,4,Safe,Etherscan
265,4,Safe,Etherscan
274,4,Safe,Etherscan
279,7,Safe,Etherscan
293,3,Safe,Etherscan
297,3,Safe,Etherscan
301,6,Safe,Etherscan
329,4,Safe,Etherscan
336,4,Safe,Etherscan
341,4,Safe,Etherscan
346,3,Safe,Etherscan
350,3,Safe,Etherscan
354,3,Safe,Etherscan
358,19,Safe,Etherscan
378,9,Safe,Etherscan
388,11,Safe,Etherscan
400,3,Safe,Etherscan
404,3,Safe,Etherscan
408,3,Safe,Etherscan
412,3,Safe,Etherscan
416,10,Safe,Etherscan
427,3,Safe,Etherscan
431,3,Safe,Etherscan
451,4,Safe,Etherscan
456,4,Safe,Etherscan
461,4,Safe,Etherscan
466,4,Safe,Etherscan
471,4,Safe,Etherscan
476,4,Safe,Etherscan
481,4,Safe,Etherscan
487,5,Safe,Etherscan
494,4,Safe,Etherscan
509,4,Safe,Etherscan
515,4,Safe,Etherscan
521,4,Safe,Etherscan
527,4,Safe,Etherscan
537,8,Safe,Etherscan
547,6,Safe,Etherscan
555,4,Safe,Etherscan
561,5,Safe,Etherscan
581,6,Safe,Etherscan
589,8,Safe,Etherscan
598,3,Safe,Etherscan
602,4,Safe,Etherscan
607,17,Safe,Etherscan
625,10,Safe,Etherscan
636,3,Safe,Etherscan
644,3,Safe,Etherscan
648,5,Safe,Etherscan
667,12,Safe,Etherscan
712,4,Safe,Etherscan
717,3,Safe,Etherscan
721,3,Safe,Etherscan
729,5,Safe,Etherscan
735,3,Safe,Etherscan
740,16,Reentrancy,Etherscan
759,8,Safe,Etherscan
770,11,Safe,Etherscan
783,8,Safe,Etherscan
793,8,Safe,Etherscan
803,11,Safe,Etherscan
816,3,Safe,Etherscan
820,3,Safe,Etherscan
849,4,Safe,Etherscan
854,4,Safe,Etherscan
859,10,Safe,Etherscan
870,4,Safe,Etherscan
875,4,Safe,Etherscan
880,4,Safe,Etherscan
885,8,Safe,Etherscan
894,7,Safe,Etherscan
902,3,Safe,Etherscan
906,7,Safe,Etherscan
914,6,Safe,Etherscan
921,3,Safe,Etherscan
925,6,Safe,Etherscan
932,21,Safe,Etherscan
954,3,Safe,Etherscan
958,3,Safe,Etherscan
1039,4,Safe,Etherscan
1044,30,Safe,Etherscan
1076,4,Safe,Etherscan
1082,4,Safe,Etherscan
1087,6,Safe,Etherscan
1094,3,Safe,Etherscan
1098,4,Safe,Etherscan
1103,4,Safe,Etherscan
1109,4,Safe,Etherscan
1114,4,Safe,Etherscan
1119,4,Safe,Etherscan
1124,5,Safe,Etherscan
1130,5,Safe,Etherscan
1136,4,Safe,Etherscan
1141,4,Safe,Etherscan
1146,5,Safe,Etherscan
1152,6,Safe,Etherscan
1160,13,Safe,Etherscan
1175,25,Safe,Etherscan
1202,41,Safe,Etherscan
1245,7,Safe,Etherscan
1253,3,Safe,Etherscan
1257,3,Safe,Etherscan
1261,3,Safe,Etherscan
1265,3,Safe,Etherscan
1269,3,Safe,Etherscan
1273,3,Safe,Etherscan
1277,3,Safe,Etherscan
1281,3,Safe,Etherscan
1285,3,Safe,Etherscan
1289,3,Safe,Etherscan
1293,3,Safe,Etherscan
1297,27,Safe,Etherscan
1325,15,Safe,Etherscan
1341,9,Safe,Etherscan
1352,13,Reentrancy,Etherscan
1367,7,Safe,Etherscan
1375,3,Safe,Etherscan
1380,8,Safe,Etherscan
1390,3,Safe,Etherscan
1394,3,Safe,Etherscan
1398,3,Safe,Etherscan
1402,3,Safe,Etherscan
1406,3,Safe,Etherscan
1410,3,Safe,Etherscan
1414,3,Safe,Etherscan
1418,3,Safe,Etherscan
1422,3,Safe,Etherscan
1426,8,Safe,Etherscan
1435,12,Safe,Etherscan
1448,7,Safe,Etherscan
