loc,length,bug type,approach
162,24,Safe,Etherscan
191,4,Safe,Etherscan
197,11,Safe,Etherscan
210,5,Safe,Etherscan
221,16,Safe,Etherscan
239,32,Safe,Etherscan
272,40,Safe,Etherscan
313,40,Safe,Etherscan
355,31,Safe,Etherscan
387,39,Safe,Etherscan
427,39,Safe,Etherscan
468,67,Safe,Etherscan
537,15,Safe,Etherscan
553,15,Safe,Etherscan
569,15,Safe,Etherscan
589,17,Safe,Etherscan
608,19,Safe,Etherscan
629,40,Safe,Etherscan
671,7,Safe,Etherscan
680,26,Safe,Etherscan
708,25,Safe,Etherscan
739,49,Safe,Etherscan
790,46,Safe,Etherscan
838,108,Safe,Etherscan
951,7,Safe,Etherscan
960,14,Safe,Etherscan
976,17,Safe,Etherscan
998,17,Safe,Etherscan
1017,7,Safe,Etherscan
1026,32,Safe,Etherscan
1060,10,Safe,Etherscan
1072,17,Safe,Etherscan
1091,58,Safe,Etherscan
1151,12,Safe,Etherscan
1165,19,Safe,Etherscan
1186,20,time_manipulation,Etherscan
1208,51,Reentrancy,Etherscan
1261,32,Safe,Etherscan
1295,18,Safe,Etherscan
1315,18,Safe,Etherscan
1335,24,Safe,Etherscan
1365,16,Safe,Etherscan
1464,7,Safe,Etherscan
1473,7,Safe,Etherscan
1482,7,Safe,Etherscan
1491,7,Safe,Etherscan
1518,63,Safe,Etherscan
1587,12,Safe,Etherscan
1601,8,Safe,Etherscan
1611,9,Safe,Etherscan
1622,13,Safe,Etherscan
1637,7,Safe,Etherscan
1646,17,Safe,Etherscan
