loc,length,bug type,approach
162,24,Safe,Etherscan
191,4,Safe,Etherscan
197,10,Safe,Etherscan
209,5,Safe,Etherscan
219,16,Safe,Etherscan
237,32,Safe,Etherscan
270,40,Safe,Etherscan
311,40,Safe,Etherscan
353,31,Safe,Etherscan
385,39,Safe,Etherscan
425,39,Safe,Etherscan
466,67,Safe,Etherscan
535,15,Safe,Etherscan
551,15,Safe,Etherscan
567,15,Safe,Etherscan
587,19,Safe,Etherscan
608,20,Safe,Etherscan
630,70,Safe,Etherscan
702,7,Safe,Etherscan
711,47,Safe,Etherscan
760,40,Safe,Etherscan
806,25,Safe,Etherscan
833,27,Safe,Etherscan
862,54,Safe,Etherscan
918,105,Safe,Etherscan
1028,18,Safe,Etherscan
1048,7,Safe,Etherscan
1057,10,Safe,Etherscan
1069,16,Safe,Etherscan
1087,19,Safe,Etherscan
1111,17,Safe,Etherscan
1130,7,Safe,Etherscan
1139,32,Safe,Etherscan
1173,10,Safe,Etherscan
1185,45,Safe,Etherscan
1232,73,Reentrancy,Etherscan
1307,21,Safe,Etherscan
1330,12,Safe,Etherscan
1344,15,Safe,Etherscan
1361,20,time_manipulation,Etherscan
1383,47,Reentrancy,Etherscan
1431,10,Safe,Etherscan
1443,32,Safe,Etherscan
1477,18,Safe,Etherscan
1497,18,Safe,Etherscan
1517,24,Safe,Etherscan
1547,20,Safe,Etherscan
1652,7,Safe,Etherscan
1661,7,Safe,Etherscan
1670,7,Safe,Etherscan
1679,7,Safe,Etherscan
1721,63,Safe,Etherscan
1790,12,Safe,Etherscan
1804,8,Safe,Etherscan
1814,9,Safe,Etherscan
1825,13,Safe,Etherscan
1840,7,Safe,Etherscan
1849,17,Safe,Etherscan
