loc,length,bug type,approach
25,3,Safe,Etherscan
29,4,Safe,Etherscan
42,4,Safe,Etherscan
48,4,Safe,Etherscan
53,4,Safe,Etherscan
67,5,Safe,Etherscan
77,27,Safe,Etherscan
186,10,Safe,Etherscan
199,7,Safe,Etherscan
208,6,Safe,Etherscan
216,8,Reentrancy,Etherscan
226,21,Safe,Etherscan
249,11,Safe,Etherscan
262,21,Safe,Etherscan
285,37,Safe,Etherscan
325,31,Safe,Etherscan
358,12,Safe,Etherscan
372,6,Safe,Etherscan
381,6,Safe,Etherscan
389,6,Safe,Etherscan
397,6,Safe,Etherscan
405,6,Safe,Etherscan
413,6,Safe,Etherscan
421,6,Safe,Etherscan
431,7,Safe,Etherscan
440,7,Safe,Etherscan
449,8,Safe,Etherscan
459,8,Safe,Etherscan
469,7,Safe,Etherscan
478,7,Safe,Etherscan
487,16,Safe,Etherscan
505,16,Safe,Etherscan
523,11,Safe,Etherscan
536,12,Safe,Etherscan
550,6,Safe,Etherscan
561,20,Safe,Etherscan
583,74,Safe,Etherscan
659,29,Safe,Etherscan
690,23,Safe,Etherscan
717,8,Safe,Etherscan
731,8,Safe,Etherscan
741,6,Safe,Etherscan
749,4,Safe,Etherscan
755,5,Safe,Etherscan
