loc,length,bug type,approach
18,3,Safe,Etherscan
23,4,Safe,Etherscan
29,4,Safe,Etherscan
35,3,Safe,Etherscan
40,5,Safe,Etherscan
53,12,Safe,Etherscan
67,6,Safe,Etherscan
75,4,Safe,Etherscan
81,5,Safe,Etherscan
105,3,Safe,Etherscan
110,10,Safe,Etherscan
122,14,Safe,Etherscan
159,3,Safe,Etherscan
164,9,Safe,Etherscan
175,3,Safe,Etherscan
208,18,Safe,Etherscan
228,5,Safe,Etherscan
235,10,Safe,Etherscan
247,12,Safe,Etherscan
261,16,Safe,Etherscan
290,4,Safe,Etherscan
295,4,Safe,Etherscan
301,15,Safe,Etherscan
318,5,Safe,Etherscan
333,3,Safe,Etherscan
337,10,Safe,Etherscan
375,18,Reentrancy,Etherscan
395,17,Reentrancy,Etherscan
414,16,Reentrancy,Etherscan
432,18,Reentrancy,Etherscan
452,18,Reentrancy,Etherscan
486,5,Safe,Etherscan
493,5,Safe,Etherscan
517,5,Safe,Etherscan
524,3,Safe,Etherscan
529,14,Reentrancy,Etherscan
545,5,Safe,Etherscan
552,7,Safe,Etherscan
561,12,Safe,Etherscan
575,7,Safe,Etherscan
584,7,Safe,Etherscan
693,22,Safe,Etherscan
759,7,Safe,Etherscan
768,3,Safe,Etherscan
773,4,Safe,Etherscan
778,4,Safe,Etherscan
783,4,Safe,Etherscan
788,4,Safe,Etherscan
793,4,Safe,Etherscan
798,10,Safe,Etherscan
809,4,Safe,Etherscan
815,10,Safe,Etherscan
827,10,Safe,Etherscan
839,10,Safe,Etherscan
851,25,Safe,Etherscan
878,19,Safe,Etherscan
899,8,Safe,Etherscan
908,3,Safe,Etherscan
912,3,Safe,Etherscan
916,3,Safe,Etherscan
920,14,Safe,Etherscan
936,8,Safe,Etherscan
945,8,Safe,Etherscan
955,26,Safe,Etherscan
983,42,Safe,Etherscan
1027,22,Safe,Etherscan
1051,16,Safe,Etherscan
1069,10,Safe,Etherscan
1081,10,Safe,Etherscan
1093,10,Safe,Etherscan
1105,10,Safe,Etherscan
1117,10,Safe,Etherscan
1129,3,Safe,Etherscan
1133,3,Safe,Etherscan
1217,8,Safe,Etherscan
1227,3,Safe,Etherscan
1274,3,Safe,Etherscan
1279,3,Safe,Etherscan
1284,14,Safe,Etherscan
1300,7,Safe,Etherscan
1309,3,Safe,Etherscan
1314,4,Safe,Etherscan
1320,10,Safe,Etherscan
1332,4,Safe,Etherscan
1338,5,Safe,Etherscan
1345,5,Safe,Etherscan
1352,3,Safe,Etherscan
1361,26,Safe,Etherscan
1389,13,Safe,Etherscan
1404,36,Safe,Etherscan
1442,20,Safe,Etherscan
1464,42,Safe,Etherscan
1508,3,Safe,Etherscan
1513,25,Safe,Etherscan
1540,3,Safe,Etherscan
1545,37,Safe,Etherscan
1584,3,Safe,Etherscan
1589,17,Safe,Etherscan
1608,3,Safe,Etherscan
1613,3,Safe,Etherscan
1618,3,Safe,Etherscan
1630,37,Safe,Etherscan
1669,12,Safe,Etherscan
1704,28,Safe,Etherscan
1733,5,Safe,Etherscan
1739,4,Safe,Etherscan
1744,7,Safe,Etherscan
1752,9,Safe,Etherscan
1762,4,Safe,Etherscan
1767,24,Safe,Etherscan
1792,22,Safe,Etherscan
1815,28,Safe,Etherscan
1844,7,Safe,Etherscan
1852,20,Safe,Etherscan
1873,7,Safe,Etherscan
1881,8,Safe,Etherscan
1890,10,Safe,Etherscan
1901,30,Safe,Etherscan
1932,23,Safe,Etherscan
1956,21,Safe,Etherscan
2082,4,Safe,Etherscan
2088,4,Safe,Etherscan
2094,30,Safe,Etherscan
2126,4,Safe,Etherscan
2132,3,Safe,Etherscan
2144,43,Safe,Etherscan
2189,3,Safe,Etherscan
2194,4,Safe,Etherscan
2199,3,Safe,Etherscan
2204,4,Safe,Etherscan
2210,3,Safe,Etherscan
2215,4,Safe,Etherscan
2221,3,Safe,Etherscan
2226,3,Safe,Etherscan
2231,10,Safe,Etherscan
2243,3,Safe,Etherscan
2248,5,Safe,Etherscan
2255,3,Safe,Etherscan
2260,3,Safe,Etherscan
2265,3,Safe,Etherscan
2270,3,Safe,Etherscan
2275,3,Safe,Etherscan
2280,3,Safe,Etherscan
2285,59,Safe,Etherscan
2346,27,Safe,Etherscan
2375,4,Safe,Etherscan
2381,3,Safe,Etherscan
2386,8,Safe,Etherscan
2396,14,Safe,Etherscan
2412,38,Safe,Etherscan
2452,23,Safe,Etherscan
2477,58,Safe,Etherscan
2537,40,Safe,Etherscan
2579,59,Safe,Etherscan
2640,4,Safe,Etherscan
2646,4,Safe,Etherscan
