loc,length,bug type,approach
37,3,Safe,Etherscan
43,4,Safe,Etherscan
50,5,Safe,Etherscan
63,5,Safe,Etherscan
69,6,Safe,Etherscan
76,4,Safe,Etherscan
81,5,Safe,Etherscan
102,11,Safe,Etherscan
125,29,Safe,Etherscan
172,5,Safe,Etherscan
179,5,Safe,Etherscan
190,5,Safe,Etherscan
197,5,Safe,Etherscan
204,4,Safe,Etherscan
242,5,Safe,Etherscan
249,3,Safe,Etherscan
254,3,Safe,Etherscan
259,5,Safe,Etherscan
270,4,Safe,Etherscan
275,4,Safe,Etherscan
280,4,Safe,Etherscan
285,4,Safe,Etherscan
291,3,Safe,Etherscan
298,20,Safe,Etherscan
320,3,Safe,Etherscan
325,12,Safe,Etherscan
339,13,Safe,Etherscan
354,3,Safe,Etherscan
359,5,Safe,Etherscan
366,5,Safe,Etherscan
378,20,Safe,Etherscan
401,22,Reentrancy,Etherscan
425,14,Safe,Etherscan
441,17,Safe,Etherscan
465,20,Safe,Etherscan
