loc,length,bug type,approach
16,3,Safe,Etherscan
21,4,Safe,Etherscan
27,4,Safe,Etherscan
33,3,Safe,Etherscan
38,5,Safe,Etherscan
48,12,Safe,Etherscan
62,6,Safe,Etherscan
70,4,Safe,Etherscan
76,5,Safe,Etherscan
125,3,Safe,Etherscan
130,9,Safe,Etherscan
141,3,Safe,Etherscan
154,18,Safe,Etherscan
174,5,Safe,Etherscan
181,10,Safe,Etherscan
193,12,Safe,Etherscan
207,16,Safe,Etherscan
238,4,Safe,Etherscan
243,4,Safe,Etherscan
249,15,Safe,Etherscan
266,5,Safe,Etherscan
279,3,Safe,Etherscan
283,10,Safe,Etherscan
300,18,Reentrancy,Etherscan
320,17,Reentrancy,Etherscan
339,16,Reentrancy,Etherscan
357,18,Reentrancy,Etherscan
377,18,Reentrancy,Etherscan
408,5,Safe,Etherscan
415,5,Safe,Etherscan
437,3,Safe,Etherscan
442,10,Safe,Etherscan
454,14,Safe,Etherscan
485,5,Safe,Etherscan
492,3,Safe,Etherscan
497,14,Reentrancy,Etherscan
513,5,Safe,Etherscan
520,7,Safe,Etherscan
529,12,Safe,Etherscan
543,7,Safe,Etherscan
552,7,Safe,Etherscan
665,8,Safe,Etherscan
675,3,Safe,Etherscan
783,24,Safe,Etherscan
809,12,Safe,Etherscan
822,8,Safe,Etherscan
832,40,Safe,Etherscan
874,17,Safe,Etherscan
