loc,length,bug type,approach
60,8,Safe,Etherscan
70,6,Safe,Etherscan
78,4,Safe,Etherscan
84,5,Safe,Etherscan
108,3,Safe,Etherscan
113,9,Safe,Etherscan
124,3,Safe,Etherscan
144,11,Safe,Etherscan
157,5,Safe,Etherscan
164,3,Safe,Etherscan
169,5,Safe,Etherscan
176,10,Safe,Etherscan
202,10,Reentrancy,Etherscan
214,9,Reentrancy,Etherscan
225,16,Reentrancy,Etherscan
243,10,Reentrancy,Etherscan
255,10,Reentrancy,Etherscan
281,3,Safe,Etherscan
286,4,Safe,Etherscan
292,5,Safe,Etherscan
316,4,Safe,Etherscan
322,4,Safe,Etherscan
328,4,Safe,Etherscan
334,4,Safe,Etherscan
350,3,Safe,Etherscan
354,3,Safe,Etherscan
358,3,Safe,Etherscan
362,3,Safe,Etherscan
366,3,Safe,Etherscan
386,7,Safe,Etherscan
