loc,length,bug type,approach
10,4,Safe,Etherscan
16,4,Safe,Etherscan
21,4,Safe,Etherscan
35,5,Safe,Etherscan
45,31,Safe,Etherscan
164,13,Safe,Etherscan
179,6,Safe,Etherscan
187,8,Safe,Etherscan
197,12,Safe,Etherscan
211,8,Reentrancy,Etherscan
221,21,Safe,Etherscan
244,11,Safe,Etherscan
257,21,Safe,Etherscan
280,37,Safe,Etherscan
320,33,Safe,Etherscan
355,36,Safe,Etherscan
394,7,Safe,Etherscan
403,6,Safe,Etherscan
411,6,Safe,Etherscan
419,6,Safe,Etherscan
427,6,Safe,Etherscan
437,7,Safe,Etherscan
446,7,Safe,Etherscan
455,8,Safe,Etherscan
465,8,Safe,Etherscan
475,7,Safe,Etherscan
484,7,Safe,Etherscan
493,16,Safe,Etherscan
511,16,Safe,Etherscan
529,11,Safe,Etherscan
542,12,Safe,Etherscan
556,6,Safe,Etherscan
564,7,Safe,Etherscan
576,20,Safe,Etherscan
598,92,Safe,Etherscan
692,29,Safe,Etherscan
723,23,Safe,Etherscan
752,8,Safe,Etherscan
766,8,Safe,Etherscan
776,6,Safe,Etherscan
784,4,Safe,Etherscan
790,5,Safe,Etherscan
