loc,length,bug type,approach
36,12,Safe,Etherscan
49,5,Safe,Etherscan
55,6,Safe,Etherscan
63,39,Safe,Etherscan
104,17,Safe,Etherscan
123,19,Safe,Etherscan
155,17,Safe,Etherscan
173,3,Safe,Etherscan
177,3,Safe,Etherscan
181,7,Safe,Etherscan
189,4,Safe,Etherscan
194,4,Safe,Etherscan
199,3,Safe,Etherscan
203,3,Safe,Etherscan
207,3,Safe,Etherscan
233,9,Safe,Etherscan
242,4,Safe,Etherscan
247,4,Safe,Etherscan
251,35,Safe,Etherscan
287,3,Safe,Etherscan
290,8,Safe,Etherscan
299,3,Safe,Etherscan
303,3,Safe,Etherscan
307,5,Safe,Etherscan
312,5,Safe,Etherscan
317,5,Safe,Etherscan
322,5,Safe,Etherscan
327,5,Safe,Etherscan
332,5,Safe,Etherscan
337,5,Safe,Etherscan
342,5,Safe,Etherscan
347,6,Safe,Etherscan
353,6,Safe,Etherscan
359,6,Safe,Etherscan
365,6,Safe,Etherscan
371,5,Safe,Etherscan
376,5,Safe,Etherscan
381,5,Safe,Etherscan
386,5,Safe,Etherscan
392,6,Safe,Etherscan
398,6,Safe,Etherscan
404,6,Safe,Etherscan
410,6,Safe,Etherscan
416,7,Safe,Etherscan
423,7,Safe,Etherscan
430,7,Safe,Etherscan
437,7,Safe,Etherscan
445,8,Safe,Etherscan
453,8,Safe,Etherscan
461,8,Safe,Etherscan
469,8,Safe,Etherscan
477,9,Safe,Etherscan
486,9,Safe,Etherscan
495,9,Safe,Etherscan
504,9,Safe,Etherscan
513,6,Safe,Etherscan
519,6,Safe,Etherscan
525,6,Safe,Etherscan
531,6,Safe,Etherscan
537,5,Safe,Etherscan
542,5,Safe,Etherscan
547,5,Safe,Etherscan
552,5,Safe,Etherscan
558,6,Safe,Etherscan
564,6,Safe,Etherscan
570,6,Safe,Etherscan
576,6,Safe,Etherscan
582,7,Safe,Etherscan
589,7,Safe,Etherscan
596,7,Safe,Etherscan
603,7,Safe,Etherscan
611,8,Safe,Etherscan
619,8,Safe,Etherscan
627,8,Safe,Etherscan
635,8,Safe,Etherscan
643,9,Safe,Etherscan
652,9,Safe,Etherscan
661,9,Safe,Etherscan
670,9,Safe,Etherscan
680,3,Safe,Etherscan
683,3,Safe,Etherscan
686,3,Safe,Etherscan
690,3,Safe,Etherscan
694,5,Safe,Etherscan
700,19,Safe,Etherscan
720,17,Safe,Etherscan
738,26,Safe,Etherscan
765,16,Safe,Etherscan
782,3,Safe,Etherscan
786,3,Safe,Etherscan
790,3,Safe,Etherscan
795,3,Safe,Etherscan
800,17,Safe,Etherscan
818,16,Safe,Etherscan
836,11,Safe,Etherscan
848,11,Safe,Etherscan
861,3,Safe,Etherscan
865,3,Safe,Etherscan
869,47,Safe,Etherscan
917,3,Safe,Etherscan
924,27,Safe,Etherscan
952,34,Safe,Etherscan
987,9,Safe,Etherscan
997,9,Safe,Etherscan
1007,11,Safe,Etherscan
1019,41,Safe,Etherscan
1062,21,Safe,Etherscan
1086,26,Safe,Etherscan
1114,39,Safe,Etherscan
1154,6,Safe,Etherscan
1169,5,Safe,Etherscan
1175,3,Safe,Etherscan
1179,4,Safe,Etherscan
1184,3,Safe,Etherscan
1188,5,Safe,Etherscan
1194,3,Safe,Etherscan
1198,7,Safe,Etherscan
1230,23,Safe,Etherscan
1254,3,Safe,Etherscan
1258,18,Safe,Etherscan
1277,3,Safe,Etherscan
1281,8,Safe,Etherscan
1290,3,Safe,Etherscan
1294,3,Safe,Etherscan
1298,3,Safe,Etherscan
1302,5,Safe,Etherscan
