loc,length,bug type,approach
6,8,Safe,Etherscan
16,6,Safe,Etherscan
24,4,Safe,Etherscan
30,5,Safe,Etherscan
41,4,Safe,Etherscan
46,4,Safe,Etherscan
84,6,Safe,Etherscan
92,3,Safe,Etherscan
96,3,Safe,Etherscan
100,3,Safe,Etherscan
104,5,Safe,Etherscan
110,7,Safe,Etherscan
119,3,Safe,Etherscan
123,9,Safe,Etherscan
133,3,Safe,Etherscan
137,3,Safe,Etherscan
142,3,Safe,Etherscan
146,3,Safe,Etherscan
150,39,Safe,Etherscan
191,6,Safe,Etherscan
199,16,Safe,Etherscan
216,7,Safe,Etherscan
224,21,Safe,Etherscan
246,32,Safe,Etherscan
279,6,Reentrancy,Etherscan
287,11,Reentrancy,Etherscan
299,3,Safe,Etherscan
303,3,Safe,Etherscan
308,6,Reentrancy,Etherscan
315,3,Safe,Etherscan
