loc,length,bug type,approach
8,8,Safe,Etherscan
18,6,Safe,Etherscan
26,4,Safe,Etherscan
32,5,Safe,Etherscan
49,3,Safe,Etherscan
54,4,Safe,Etherscan
60,5,Safe,Etherscan
74,4,Safe,Etherscan
80,3,Safe,Etherscan
85,5,Safe,Etherscan
102,4,Safe,Etherscan
108,4,Safe,Etherscan
114,4,Safe,Etherscan
120,4,Safe,Etherscan
147,3,Safe,Etherscan
151,3,Safe,Etherscan
155,3,Safe,Etherscan
166,4,Safe,Etherscan
178,4,Safe,Etherscan
184,4,Safe,Etherscan
191,5,Safe,Etherscan
231,12,Reentrancy,Etherscan
245,4,Safe,Etherscan
274,10,Reentrancy,Etherscan
286,6,Safe,Etherscan
297,4,Safe,Etherscan
308,65,time_manipulation,Etherscan
375,3,Safe,Etherscan
380,29,time_manipulation,Etherscan
