loc,length,bug type,approach
6,5,Safe,Etherscan
12,6,Safe,Etherscan
19,4,Safe,Etherscan
24,5,Safe,Etherscan
44,3,Safe,Etherscan
49,4,Safe,Etherscan
55,4,Safe,Etherscan
61,3,Safe,Etherscan
66,5,Safe,Etherscan
81,4,Safe,Etherscan
87,3,Safe,Etherscan
92,5,Safe,Etherscan
106,3,Safe,Etherscan
153,10,Safe,Etherscan
165,3,Safe,Etherscan
177,4,time_manipulation,Etherscan
183,3,Safe,Etherscan
188,3,Safe,Etherscan
193,3,Safe,Etherscan
212,3,Safe,Etherscan
217,10,Safe,Etherscan
229,9,Safe,Etherscan
240,5,Safe,Etherscan
247,18,Safe,Etherscan
267,12,Safe,Etherscan
281,16,Safe,Etherscan
311,4,Safe,Etherscan
316,4,Safe,Etherscan
322,15,Safe,Etherscan
339,5,Safe,Etherscan
384,4,Safe,Etherscan
402,3,Safe,Etherscan
411,3,Safe,Etherscan
416,4,Safe,Etherscan
422,10,Safe,Etherscan
444,4,Safe,Etherscan
470,4,Safe,Etherscan
509,4,Safe,Etherscan
514,4,Safe,Etherscan
524,7,Safe,Etherscan
536,7,Safe,Etherscan
544,4,Safe,Etherscan
550,19,Safe,Etherscan
572,22,Safe,Etherscan
597,6,Safe,Etherscan
606,4,Safe,Etherscan
655,4,Safe,Etherscan
660,4,Safe,Etherscan
665,4,Safe,Etherscan
670,4,Safe,Etherscan
675,4,time_manipulation,Etherscan
680,4,time_manipulation,Etherscan
690,9,Safe,Etherscan
704,7,Safe,Etherscan
712,5,Safe,Etherscan
718,6,time_manipulation,Etherscan
726,20,Safe,Etherscan
749,25,Safe,Etherscan
777,9,Safe,Etherscan
789,4,Safe,Etherscan
825,15,time_manipulation,Etherscan
842,3,Safe,Etherscan
847,25,Safe,Etherscan
875,3,Safe,Etherscan
880,5,time_manipulation,Etherscan
887,3,time_manipulation,Etherscan
892,3,Safe,Etherscan
907,9,Safe,Etherscan
918,2,Safe,Etherscan
953,4,Safe,Etherscan
994,28,Safe,Etherscan
1029,19,time_manipulation,Etherscan
1054,47,Safe,Etherscan
1106,3,Safe,Etherscan
1111,3,time_manipulation,Etherscan
1122,16,Safe,Etherscan
1141,21,Safe,Etherscan
1167,4,Safe,Etherscan
1174,3,Safe,Etherscan
1180,3,Safe,Etherscan
1186,3,Safe,Etherscan
1191,19,Safe,Etherscan
