loc,length,bug type,approach
12,6,Safe,Etherscan
19,5,Safe,Etherscan
32,5,Safe,Etherscan
38,7,Safe,Etherscan
46,8,Safe,Etherscan
55,5,Safe,Etherscan
70,7,Safe,Etherscan
78,8,Safe,Etherscan
87,19,Safe,Etherscan
121,3,Safe,Etherscan
125,7,Safe,Etherscan
133,6,Safe,Etherscan
140,5,Safe,Etherscan
146,5,Safe,Etherscan
152,7,Safe,Etherscan
162,8,Safe,Etherscan
186,7,Safe,Etherscan
195,8,Safe,Etherscan
205,7,Safe,Etherscan
214,8,Safe,Etherscan
224,10,Safe,Etherscan
236,12,Safe,Etherscan
250,10,Safe,Etherscan
262,7,Safe,Etherscan
271,11,Safe,Etherscan
284,8,Safe,Etherscan
294,7,Safe,Etherscan
386,7,Safe,Etherscan
397,9,Safe,Etherscan
407,11,Safe,Etherscan
419,8,Safe,Etherscan
428,7,Safe,Etherscan
436,7,Safe,Etherscan
448,11,Safe,Etherscan
461,11,Safe,Etherscan
474,9,Safe,Etherscan
485,21,Safe,Etherscan
507,7,Safe,Etherscan
519,27,Safe,Etherscan
548,34,Safe,Etherscan
584,8,Safe,Etherscan
594,8,Safe,Etherscan
604,30,Safe,Etherscan
635,10,Safe,Etherscan
647,6,Safe,Etherscan
655,10,Safe,Etherscan
667,8,Safe,Etherscan
718,17,Safe,Etherscan
738,8,Safe,Etherscan
747,7,Safe,Etherscan
755,7,Safe,Etherscan
765,7,Safe,Etherscan
773,7,Safe,Etherscan
782,14,Safe,Etherscan
799,7,Safe,Etherscan
808,7,Safe,Etherscan
818,7,Safe,Etherscan
830,22,Safe,Etherscan
854,23,Safe,Etherscan
878,12,Safe,Etherscan
892,20,Safe,Etherscan
914,20,Safe,Etherscan
1013,21,Safe,Etherscan
1038,7,Safe,Etherscan
1046,7,Safe,Etherscan
1054,7,Safe,Etherscan
1062,8,Safe,Etherscan
1071,7,Safe,Etherscan
1083,8,Safe,Etherscan
1093,8,Safe,Etherscan
1103,8,Safe,Etherscan
1113,7,Safe,Etherscan
1122,7,Safe,Etherscan
1131,7,Safe,Etherscan
1140,7,Safe,Etherscan
1149,7,Safe,Etherscan
1158,8,Safe,Etherscan
1168,7,Safe,Etherscan
1177,8,Safe,Etherscan
1187,7,Safe,Etherscan
1196,7,Safe,Etherscan
1204,7,Safe,Etherscan
1213,17,Safe,Etherscan
1235,8,Safe,Etherscan
1245,8,Safe,Etherscan
1255,14,Safe,Etherscan
1271,13,Safe,Etherscan
1286,9,Safe,Etherscan
1297,17,Safe,Etherscan
1316,26,Safe,Etherscan
1344,7,Safe,Etherscan
1352,6,Safe,Etherscan
1360,10,Safe,Etherscan
1372,12,Safe,Etherscan
1386,8,Safe,Etherscan
1396,25,Safe,Etherscan
1423,9,Safe,Etherscan
1439,5,Safe,Etherscan
1445,5,Safe,Etherscan
1452,7,Safe,Etherscan
1513,19,Safe,Etherscan
1535,7,Safe,Etherscan
1543,7,Safe,Etherscan
1553,7,Safe,Etherscan
1562,14,Safe,Etherscan
1578,15,Safe,Etherscan
1594,10,Safe,Etherscan
1633,6,Safe,Etherscan
1643,7,Safe,Etherscan
1655,7,Safe,Etherscan
1664,7,Safe,Etherscan
1673,7,Safe,Etherscan
1682,7,Safe,Etherscan
1691,7,Safe,Etherscan
1700,13,Safe,Etherscan
1715,11,Safe,Etherscan
1728,11,Safe,Etherscan
1741,11,Safe,Etherscan
1757,7,Safe,Etherscan
1766,9,Safe,Etherscan
1777,22,Safe,Etherscan
1801,10,Safe,Etherscan
1813,27,Safe,Etherscan
1857,6,Safe,Etherscan
1864,7,Safe,Etherscan
1872,7,Safe,Etherscan
1880,7,Safe,Etherscan
1888,8,Safe,Etherscan
1967,11,Safe,Etherscan
1982,6,Safe,Etherscan
1989,6,Safe,Etherscan
1996,10,Safe,Etherscan
2011,10,Safe,Etherscan
2023,8,Safe,Etherscan
2033,7,Safe,Etherscan
2042,20,Safe,Etherscan
2064,20,Safe,Etherscan
2086,32,Safe,Etherscan
2120,15,Safe,Etherscan
2137,41,Safe,Etherscan
2180,8,Safe,Etherscan
2190,7,Safe,Etherscan
2199,6,Safe,Etherscan
2206,5,Safe,Etherscan
2216,15,Safe,Etherscan
2232,5,Safe,Etherscan
2238,5,Safe,Etherscan
2266,7,Safe,Etherscan
2277,7,Safe,Etherscan
2285,6,Safe,Etherscan
2292,6,Safe,Etherscan
2302,5,Safe,Etherscan
