loc,length,bug type,approach
5,5,Safe,Etherscan
11,6,Safe,Etherscan
18,4,Safe,Etherscan
23,5,Safe,Etherscan
39,3,Safe,Etherscan
43,4,Safe,Etherscan
48,6,Safe,Etherscan
76,10,Safe,Etherscan
87,12,Safe,Etherscan
100,3,Safe,Etherscan
104,3,Safe,Etherscan
108,6,Safe,Etherscan
115,3,Safe,Etherscan
163,7,Safe,Etherscan
173,4,Safe,Etherscan
180,6,Safe,Etherscan
190,6,Safe,Etherscan
200,3,Safe,Etherscan
206,21,time_manipulation,Etherscan
228,15,time_manipulation,Etherscan
244,11,time_manipulation,Etherscan
256,3,Safe,Etherscan
278,8,Safe,Etherscan
290,5,Safe,Etherscan
299,8,Safe,Etherscan
311,8,Safe,Etherscan
320,4,Safe,Etherscan
325,4,Safe,Etherscan
333,13,Safe,Etherscan
349,13,Safe,Etherscan
365,10,time_manipulation,Etherscan
