loc,length,bug type,approach
8,8,Safe,Etherscan
18,6,Safe,Etherscan
26,4,Safe,Etherscan
32,5,Safe,Etherscan
49,3,Safe,Etherscan
54,4,Safe,Etherscan
60,5,Safe,Etherscan
74,4,Safe,Etherscan
80,3,Safe,Etherscan
85,5,Safe,Etherscan
102,4,Safe,Etherscan
108,4,Safe,Etherscan
114,4,Safe,Etherscan
120,4,Safe,Etherscan
147,3,Safe,Etherscan
151,3,Safe,Etherscan
155,3,Safe,Etherscan
166,4,Safe,Etherscan
178,4,Safe,Etherscan
184,4,Safe,Etherscan
192,9,Safe,Etherscan
353,18,Safe,Etherscan
375,3,Safe,Etherscan
382,5,Safe,Etherscan
391,4,Safe,Etherscan
397,61,Safe,Etherscan
460,9,Safe,Etherscan
471,6,Safe,Etherscan
480,24,time_manipulation,Etherscan
506,33,Safe,Etherscan
543,16,time_manipulation,Etherscan
561,53,Safe,Etherscan
623,3,Safe,Etherscan
628,3,Safe,Etherscan
635,3,Safe,Etherscan
643,13,Safe,Etherscan
659,5,Safe,Etherscan
671,7,Safe,Etherscan
689,12,Reentrancy,Etherscan
703,4,Safe,Etherscan
717,4,Safe,Etherscan
723,4,Safe,Etherscan
729,5,Safe,Etherscan
737,5,Safe,Etherscan
745,3,Safe,Etherscan
751,3,Safe,Etherscan
767,3,Safe,Etherscan
774,6,Safe,Etherscan
790,8,Safe,Etherscan
801,10,Safe,Etherscan
814,3,Safe,Etherscan
820,3,Safe,Etherscan
827,13,Safe,Etherscan
848,3,Safe,Etherscan
854,48,Safe,Etherscan
905,7,Safe,Etherscan
914,52,Safe,Etherscan
969,9,Safe,Etherscan
983,36,Safe,Etherscan
1024,10,Reentrancy,Etherscan
1046,119,time_manipulation,Etherscan
1171,7,Safe,Etherscan
1182,19,Safe,Etherscan
1203,3,Safe,Etherscan
1208,36,time_manipulation,Etherscan
