loc,length,bug type,approach
5,8,Safe,Etherscan
14,6,Safe,Etherscan
21,4,Safe,Etherscan
26,5,Safe,Etherscan
40,3,Safe,Etherscan
44,4,Safe,Etherscan
50,5,Safe,Etherscan
121,7,Safe,Etherscan
129,3,Safe,Etherscan
133,5,time_manipulation,Etherscan
139,5,time_manipulation,Etherscan
145,6,Safe,Etherscan
166,4,Safe,Etherscan
171,3,Safe,Etherscan
175,5,Safe,Etherscan
181,3,Safe,Etherscan
185,3,Safe,Etherscan
189,6,Safe,Etherscan
196,5,Safe,Etherscan
202,3,Reentrancy,Etherscan
235,5,Safe,Etherscan
241,35,Safe,Etherscan
277,8,Safe,Etherscan
286,3,Safe,Etherscan
290,3,Safe,Etherscan
295,4,Safe,Etherscan
300,3,Safe,Etherscan
305,5,Safe,Etherscan
312,3,Safe,Etherscan
316,3,Safe,Etherscan
320,5,Reentrancy,Etherscan
327,3,Safe,Etherscan
331,3,Safe,Etherscan
336,6,Reentrancy,Etherscan
