loc,length,bug type,approach
45,4,Safe,Etherscan
49,4,Safe,Etherscan
54,4,Safe,Etherscan
58,4,Safe,Etherscan
64,117,Safe,Etherscan
182,8,Safe,Etherscan
190,3,Safe,Etherscan
194,3,Safe,Etherscan
198,10,Safe,Etherscan
209,12,Safe,Etherscan
223,3,Safe,Etherscan
226,3,Safe,Etherscan
229,8,Safe,Etherscan
238,3,Safe,Etherscan
242,14,Safe,Etherscan
258,21,unchecked_low_calls,Etherscan
280,3,Safe,Etherscan
284,3,Safe,Etherscan
288,9,Safe,Etherscan
298,19,Safe,Etherscan
319,3,Safe,Etherscan
324,8,Safe,Etherscan
332,10,Safe,Etherscan
342,3,Safe,Etherscan
346,3,Safe,Etherscan
351,11,Safe,Etherscan
365,3,Safe,Etherscan
369,7,unchecked_low_calls,Etherscan
376,9,Safe,Etherscan
388,8,Safe,Etherscan
397,6,Safe,Etherscan
404,4,Safe,Etherscan
409,5,Safe,Etherscan
415,14,Safe,Etherscan
