loc,length,bug type,approach
16,3,Safe,Etherscan
21,4,Safe,Etherscan
27,4,Safe,Etherscan
33,3,Safe,Etherscan
38,5,Safe,Etherscan
49,3,Safe,Etherscan
54,3,Safe,Etherscan
99,3,Safe,Etherscan
103,6,Safe,Etherscan
110,11,Reentrancy,Etherscan
122,3,Safe,Etherscan
146,3,Safe,Etherscan
150,4,Safe,Etherscan
155,5,Safe,Etherscan
161,4,Safe,Etherscan
182,4,Safe,Etherscan
187,6,Safe,Etherscan
194,10,Safe,Etherscan
205,7,Safe,Etherscan
213,3,Safe,Etherscan
217,3,Safe,Etherscan
221,4,Safe,Etherscan
226,3,Safe,Etherscan
234,5,Safe,Etherscan
240,4,Safe,Etherscan
245,3,Safe,Etherscan
252,5,Safe,Etherscan
