loc,length,bug type,approach
10,13,Safe,Etherscan
25,7,Safe,Etherscan
34,6,Safe,Etherscan
42,6,Safe,Etherscan
50,4,Safe,Etherscan
77,7,Safe,Etherscan
86,7,Safe,Etherscan
95,8,Safe,Etherscan
105,14,Safe,Etherscan
121,7,Safe,Etherscan
130,7,Safe,Etherscan
139,8,Safe,Etherscan
149,13,Safe,Etherscan
164,7,Safe,Etherscan
173,7,Safe,Etherscan
182,7,Safe,Etherscan
191,13,Safe,Etherscan
217,7,Safe,Etherscan
226,7,Safe,Etherscan
235,8,Safe,Etherscan
244,5,Safe,Etherscan
266,8,Safe,Etherscan
276,8,Safe,Etherscan
286,8,Safe,Etherscan
296,8,Safe,Etherscan
306,10,Safe,Etherscan
333,7,Safe,Etherscan
344,7,Safe,Etherscan
354,5,Safe,Etherscan
377,4,Safe,Etherscan
385,6,Safe,Etherscan
393,6,Safe,Etherscan
410,4,Safe,Etherscan
415,7,Safe,Etherscan
423,6,Safe,Etherscan
430,27,Safe,Etherscan
458,34,Safe,Etherscan
493,4,Safe,Etherscan
513,7,Safe,Etherscan
521,7,Safe,Etherscan
529,6,Safe,Etherscan
536,4,Safe,Etherscan
541,7,Safe,Etherscan
549,8,Safe,Etherscan
569,6,Safe,Etherscan
581,26,unchecked_low_calls,Etherscan
631,14,Safe,Etherscan
649,7,Safe,Etherscan
658,7,Safe,Etherscan
669,7,Safe,Etherscan
677,23,Safe,Etherscan
702,6,Safe,Etherscan
710,8,Safe,Etherscan
720,11,Safe,Etherscan
736,3,Safe,Etherscan
742,3,Safe,Etherscan
748,3,Safe,Etherscan
801,14,Safe,Etherscan
817,7,Safe,Etherscan
826,31,Safe,Etherscan
858,10,Safe,Etherscan
869,12,Safe,Etherscan
884,13,Safe,Etherscan
898,21,Safe,Etherscan
921,23,Safe,Etherscan
945,7,Safe,Etherscan
955,4,Safe,Etherscan
1012,38,Safe,Etherscan
1054,7,Safe,Etherscan
1063,34,Safe,Etherscan
1099,37,Safe,Etherscan
1138,25,Safe,Etherscan
1165,11,Safe,Etherscan
1178,7,Safe,Etherscan
1187,7,Safe,Etherscan
1196,20,Safe,Etherscan
1218,25,Safe,Etherscan
1246,14,Safe,Etherscan
1262,7,Safe,Etherscan
1271,13,Safe,Etherscan
1286,7,Safe,Etherscan
1295,13,Safe,Etherscan
1310,10,Safe,Etherscan
1322,7,Safe,Etherscan
1332,18,Safe,Etherscan
1353,4,Safe,Etherscan
1358,5,Safe,Etherscan
1384,5,Safe,Etherscan
1390,5,Safe,Etherscan
1461,5,Safe,Etherscan
1470,7,Safe,Etherscan
1479,6,Safe,Etherscan
1487,6,Safe,Etherscan
1495,6,Safe,Etherscan
1503,6,Safe,Etherscan
1511,6,Safe,Etherscan
1519,8,Safe,Etherscan
1529,11,Safe,Etherscan
1542,54,Safe,Etherscan
1600,7,Safe,Etherscan
1609,7,Safe,Etherscan
1618,7,Safe,Etherscan
1658,16,Safe,Etherscan
1677,7,Safe,Etherscan
1685,7,Safe,Etherscan
1696,16,Safe,Etherscan
1714,15,Safe,Etherscan
1731,20,Safe,Etherscan
1753,19,Safe,Etherscan
1774,15,Safe,Etherscan
1791,14,Safe,Etherscan
1807,18,Safe,Etherscan
1827,17,Safe,Etherscan
1846,14,Safe,Etherscan
1862,9,Safe,Etherscan
1873,9,Safe,Etherscan
1884,6,Safe,Etherscan
1893,7,Safe,Etherscan
1903,7,Safe,Etherscan
1911,4,Safe,Etherscan
1920,3,Safe,Etherscan
1926,3,Safe,Etherscan
1932,3,Safe,Etherscan
1938,3,Safe,Etherscan
1976,14,Safe,Etherscan
1992,6,Safe,Etherscan
1999,6,Safe,Etherscan
2007,11,Safe,Etherscan
2020,35,Safe,Etherscan
2059,14,Safe,Etherscan
2075,24,Safe,Etherscan
2101,13,Safe,Etherscan
2116,7,Safe,Etherscan
2127,7,Safe,Etherscan
2136,13,Safe,Etherscan
2151,7,Safe,Etherscan
2160,14,Safe,Etherscan
2176,19,Safe,Etherscan
2197,24,Safe,Etherscan
2223,31,Safe,Etherscan
2256,55,Safe,Etherscan
2313,48,Safe,Etherscan
2363,16,Safe,Etherscan
2381,10,Safe,Etherscan
2393,27,Safe,Etherscan
2422,13,Safe,Etherscan
2437,49,Safe,Etherscan
2490,12,Safe,Etherscan
2504,11,Safe,Etherscan
2517,29,Safe,Etherscan
2548,15,Safe,Etherscan
2565,17,Safe,Etherscan
2584,24,Safe,Etherscan
2609,27,Safe,Etherscan
2639,4,Safe,Etherscan
2644,4,Safe,Etherscan
2649,14,Safe,Etherscan
2664,4,Safe,Etherscan
2673,3,Safe,Etherscan
