loc,length,bug type,approach
19,3,Safe,Etherscan
24,4,Safe,Etherscan
29,5,Safe,Etherscan
42,3,Safe,Etherscan
47,3,Safe,Etherscan
52,5,Safe,Etherscan
59,5,Safe,Etherscan
74,5,Safe,Etherscan
80,6,Safe,Etherscan
87,4,Safe,Etherscan
92,5,Safe,Etherscan
105,6,Safe,Etherscan
112,3,Safe,Etherscan
120,12,Safe,Etherscan
134,12,Safe,Etherscan
148,3,Safe,Etherscan
158,3,Safe,Etherscan
162,3,Safe,Etherscan
167,6,Safe,Etherscan
181,5,Safe,Etherscan
187,3,Safe,Etherscan
191,3,Safe,Etherscan
224,3,Safe,Etherscan
231,3,Safe,Etherscan
236,3,Safe,Etherscan
241,5,Safe,Etherscan
248,11,Safe,Etherscan
261,10,unchecked_low_calls,Etherscan
