loc,length,bug type,approach
42,4,Safe,Etherscan
47,4,Safe,Etherscan
52,4,Safe,Etherscan
57,4,Safe,Etherscan
63,4,Safe,Etherscan
68,4,Safe,Etherscan
74,6,Safe,Etherscan
82,4,Safe,Etherscan
88,4,Safe,Etherscan
94,4,Safe,Etherscan
100,4,Safe,Etherscan
106,8,Safe,Etherscan
116,8,Safe,Etherscan
125,4,Safe,Etherscan
130,8,Safe,Etherscan
141,4,Safe,Etherscan
145,4,Safe,Etherscan
149,8,Safe,Etherscan
160,44,Safe,Etherscan
204,3,Safe,Etherscan
207,3,Safe,Etherscan
211,7,Reentrancy,Etherscan
218,3,Safe,Etherscan
222,3,Safe,Etherscan
225,27,Safe,Etherscan
252,33,Safe,Etherscan
285,5,Safe,Etherscan
290,3,Safe,Etherscan
