loc,length,bug type,approach
10,13,Safe,Etherscan
25,7,Safe,Etherscan
34,6,Safe,Etherscan
42,6,Safe,Etherscan
50,4,Safe,Etherscan
77,7,Safe,Etherscan
86,7,Safe,Etherscan
95,8,Safe,Etherscan
105,14,Safe,Etherscan
121,7,Safe,Etherscan
130,7,Safe,Etherscan
139,8,Safe,Etherscan
149,13,Safe,Etherscan
164,7,Safe,Etherscan
173,7,Safe,Etherscan
182,7,Safe,Etherscan
191,13,Safe,Etherscan
217,7,Safe,Etherscan
226,7,Safe,Etherscan
235,8,Safe,Etherscan
244,5,Safe,Etherscan
267,8,Safe,Etherscan
277,8,Safe,Etherscan
287,8,Safe,Etherscan
297,8,Safe,Etherscan
307,10,Safe,Etherscan
334,7,Safe,Etherscan
345,7,Safe,Etherscan
355,5,Safe,Etherscan
378,4,Safe,Etherscan
386,6,Safe,Etherscan
394,6,Safe,Etherscan
411,4,Safe,Etherscan
416,7,Safe,Etherscan
424,6,Safe,Etherscan
431,27,Safe,Etherscan
459,34,Safe,Etherscan
494,4,Safe,Etherscan
514,7,Safe,Etherscan
522,7,Safe,Etherscan
530,6,Safe,Etherscan
537,4,Safe,Etherscan
542,7,Safe,Etherscan
550,8,Safe,Etherscan
570,6,Safe,Etherscan
582,26,unchecked_low_calls,Etherscan
632,14,Safe,Etherscan
650,7,Safe,Etherscan
659,7,Safe,Etherscan
670,7,Safe,Etherscan
678,23,Safe,Etherscan
703,6,Safe,Etherscan
711,8,Safe,Etherscan
721,11,Safe,Etherscan
737,3,Safe,Etherscan
743,3,Safe,Etherscan
749,3,Safe,Etherscan
800,38,Safe,Etherscan
842,7,Safe,Etherscan
851,34,Safe,Etherscan
887,37,Safe,Etherscan
926,25,Safe,Etherscan
953,11,Safe,Etherscan
966,7,Safe,Etherscan
975,7,Safe,Etherscan
984,20,Safe,Etherscan
1006,25,Safe,Etherscan
1034,14,Safe,Etherscan
1050,7,Safe,Etherscan
1059,13,Safe,Etherscan
1074,7,Safe,Etherscan
1083,13,Safe,Etherscan
1098,10,Safe,Etherscan
1110,7,Safe,Etherscan
1120,18,Safe,Etherscan
1141,4,Safe,Etherscan
1146,5,Safe,Etherscan
1172,5,Safe,Etherscan
1178,5,Safe,Etherscan
1249,5,Safe,Etherscan
1258,7,Safe,Etherscan
1267,6,Safe,Etherscan
1275,6,Safe,Etherscan
1283,6,Safe,Etherscan
1291,6,Safe,Etherscan
1299,6,Safe,Etherscan
1307,8,Safe,Etherscan
1317,11,Safe,Etherscan
1330,54,Safe,Etherscan
1388,7,Safe,Etherscan
1397,7,Safe,Etherscan
1406,7,Safe,Etherscan
1446,16,Safe,Etherscan
1465,7,Safe,Etherscan
1473,7,Safe,Etherscan
1484,16,Safe,Etherscan
1502,15,Safe,Etherscan
1519,20,Safe,Etherscan
1541,19,Safe,Etherscan
1562,15,Safe,Etherscan
1579,14,Safe,Etherscan
1595,18,Safe,Etherscan
1615,17,Safe,Etherscan
1634,14,Safe,Etherscan
1650,9,Safe,Etherscan
1661,9,Safe,Etherscan
1672,6,Safe,Etherscan
1681,7,Safe,Etherscan
1691,7,Safe,Etherscan
1699,4,Safe,Etherscan
1708,3,Safe,Etherscan
1714,3,Safe,Etherscan
1720,3,Safe,Etherscan
1726,3,Safe,Etherscan
1765,14,Safe,Etherscan
1782,13,Safe,Etherscan
1797,35,Safe,Etherscan
1836,14,Safe,Etherscan
1852,24,Safe,Etherscan
1878,13,Safe,Etherscan
1893,7,Safe,Etherscan
1904,7,Safe,Etherscan
1913,13,Safe,Etherscan
1928,7,Safe,Etherscan
1937,14,Safe,Etherscan
1953,19,Safe,Etherscan
1974,24,Safe,Etherscan
2000,31,Safe,Etherscan
2033,55,Safe,Etherscan
2090,48,Safe,Etherscan
2140,16,Safe,Etherscan
2158,10,Safe,Etherscan
2170,27,Safe,Etherscan
2199,13,Safe,Etherscan
2214,49,Safe,Etherscan
2267,12,Safe,Etherscan
2281,11,Safe,Etherscan
2294,29,Safe,Etherscan
2325,15,Safe,Etherscan
2342,17,Safe,Etherscan
2361,24,Safe,Etherscan
2386,27,Safe,Etherscan
2416,4,Safe,Etherscan
2421,4,Safe,Etherscan
2426,14,Safe,Etherscan
2441,4,Safe,Etherscan
2450,3,Safe,Etherscan
2504,14,Safe,Etherscan
2520,7,Safe,Etherscan
2529,31,Safe,Etherscan
2561,10,Safe,Etherscan
2572,12,Safe,Etherscan
2587,13,Safe,Etherscan
2601,21,Safe,Etherscan
2624,23,Safe,Etherscan
2648,7,Safe,Etherscan
2658,4,Safe,Etherscan
