loc,length,bug type,approach
6,3,Safe,Etherscan
10,4,Safe,Etherscan
15,5,Safe,Etherscan
28,4,Safe,Etherscan
33,4,Safe,Etherscan
38,5,Safe,Etherscan
44,5,Safe,Etherscan
60,4,Safe,Etherscan
65,4,Safe,Etherscan
70,4,Safe,Etherscan
75,8,Safe,Etherscan
84,5,Safe,Etherscan
90,5,Safe,Etherscan
96,5,Safe,Etherscan
102,4,Safe,Etherscan
107,4,Safe,Etherscan
112,3,Safe,Etherscan
116,3,Safe,Etherscan
157,10,Safe,Etherscan
168,4,Safe,Etherscan
173,3,Safe,Etherscan
177,3,Safe,Etherscan
181,12,Safe,Etherscan
193,14,Safe,Etherscan
272,16,Safe,Etherscan
315,6,Safe,Etherscan
322,3,Safe,Etherscan
326,3,Safe,Etherscan
330,9,Safe,Etherscan
340,3,Safe,Etherscan
344,3,Safe,Etherscan
351,3,Safe,Etherscan
355,14,Safe,Etherscan
370,13,Safe,Etherscan
384,15,Safe,Etherscan
400,3,Safe,Etherscan
404,9,Safe,Etherscan
418,23,Safe,Etherscan
442,18,Safe,Etherscan
461,14,Safe,Etherscan
476,8,Safe,Etherscan
485,16,Safe,Etherscan
513,3,Safe,Etherscan
517,9,Safe,Etherscan
527,7,Safe,Etherscan
535,11,Safe,Etherscan
547,3,Safe,Etherscan
551,5,Safe,Etherscan
557,3,Safe,Etherscan
561,4,Safe,Etherscan
570,3,Safe,Etherscan
574,11,Safe,Etherscan
586,6,Safe,Etherscan
593,7,Safe,Etherscan
601,4,Safe,Etherscan
622,7,Safe,Etherscan
630,8,Safe,Etherscan
639,5,Safe,Etherscan
645,4,Safe,Etherscan
650,5,Safe,Etherscan
656,6,Safe,Etherscan
663,3,Safe,Etherscan
667,7,Safe,Etherscan
677,14,Safe,Etherscan
692,9,Safe,Etherscan
702,9,Safe,Etherscan
725,5,Safe,Etherscan
731,4,Safe,Etherscan
736,17,Safe,Etherscan
754,4,Safe,Etherscan
759,15,Safe,Etherscan
777,7,Safe,Etherscan
785,20,Safe,Etherscan
806,7,Safe,Etherscan
814,18,Safe,Etherscan
833,4,Safe,Etherscan
856,4,Safe,Etherscan
861,4,Safe,Etherscan
866,6,Safe,Etherscan
872,3,Safe,Etherscan
911,3,Safe,Etherscan
919,4,Safe,Etherscan
928,4,Safe,Etherscan
937,15,Safe,Etherscan
954,5,Safe,Etherscan
962,60,Safe,Etherscan
1025,3,Safe,Etherscan
1031,3,Safe,Etherscan
1039,21,Safe,Etherscan
1065,36,Safe,Etherscan
1104,8,Safe,Etherscan
1130,8,Safe,Etherscan
1143,11,unchecked_low_calls,Etherscan
1162,27,Safe,Etherscan
1193,9,Safe,Etherscan
1208,9,Safe,Etherscan
1222,9,Safe,Etherscan
1234,21,Safe,Etherscan
1258,9,Safe,Etherscan
1281,2,Safe,Etherscan
1290,26,Safe,Etherscan
1319,9,Safe,Etherscan
1358,7,Safe,Etherscan
1366,25,Safe,Etherscan
1392,7,Safe,Etherscan
1403,9,unchecked_low_calls,Etherscan
1414,9,Safe,Etherscan
1424,9,Safe,Etherscan
1434,23,Safe,Etherscan
1458,9,Safe,Etherscan
1472,3,Safe,Etherscan
1476,3,Safe,Etherscan
1480,16,Safe,Etherscan
1497,7,Safe,Etherscan
1505,30,Safe,Etherscan
1536,3,Safe,Etherscan
1540,18,Safe,Etherscan
1559,19,Safe,Etherscan
1579,3,Safe,Etherscan
