loc,length,bug type,approach
10,13,Safe,Etherscan
25,7,Safe,Etherscan
34,6,Safe,Etherscan
42,6,Safe,Etherscan
50,4,Safe,Etherscan
77,7,Safe,Etherscan
86,7,Safe,Etherscan
95,8,Safe,Etherscan
105,14,Safe,Etherscan
121,7,Safe,Etherscan
130,7,Safe,Etherscan
139,8,Safe,Etherscan
149,13,Safe,Etherscan
164,7,Safe,Etherscan
173,7,Safe,Etherscan
182,7,Safe,Etherscan
191,13,Safe,Etherscan
217,7,Safe,Etherscan
226,7,Safe,Etherscan
235,8,Safe,Etherscan
244,5,Safe,Etherscan
266,8,Safe,Etherscan
276,8,Safe,Etherscan
286,8,Safe,Etherscan
296,8,Safe,Etherscan
306,10,Safe,Etherscan
333,7,Safe,Etherscan
344,7,Safe,Etherscan
354,5,Safe,Etherscan
377,4,Safe,Etherscan
385,6,Safe,Etherscan
393,6,Safe,Etherscan
410,4,Safe,Etherscan
415,7,Safe,Etherscan
423,6,Safe,Etherscan
430,27,Safe,Etherscan
458,34,Safe,Etherscan
493,4,Safe,Etherscan
513,7,Safe,Etherscan
521,7,Safe,Etherscan
529,6,Safe,Etherscan
536,4,Safe,Etherscan
541,7,Safe,Etherscan
549,8,Safe,Etherscan
569,6,Safe,Etherscan
581,26,unchecked_low_calls,Etherscan
631,14,Safe,Etherscan
649,7,Safe,Etherscan
658,7,Safe,Etherscan
669,7,Safe,Etherscan
677,23,Safe,Etherscan
702,6,Safe,Etherscan
710,8,Safe,Etherscan
720,11,Safe,Etherscan
736,3,Safe,Etherscan
742,3,Safe,Etherscan
748,3,Safe,Etherscan
763,5,Safe,Etherscan
769,5,Safe,Etherscan
806,6,Safe,Etherscan
816,7,Safe,Etherscan
828,7,Safe,Etherscan
837,7,Safe,Etherscan
846,7,Safe,Etherscan
855,7,Safe,Etherscan
864,7,Safe,Etherscan
873,13,Safe,Etherscan
888,11,Safe,Etherscan
901,7,Safe,Etherscan
910,7,Safe,Etherscan
922,7,Safe,Etherscan
931,9,Safe,Etherscan
942,27,Safe,Etherscan
971,10,Safe,Etherscan
983,27,Safe,Etherscan
1062,5,Safe,Etherscan
1071,7,Safe,Etherscan
1080,6,Safe,Etherscan
1088,6,Safe,Etherscan
1096,6,Safe,Etherscan
1104,6,Safe,Etherscan
1112,6,Safe,Etherscan
1120,8,Safe,Etherscan
1130,11,Safe,Etherscan
1143,51,Safe,Etherscan
1198,7,Safe,Etherscan
1207,7,Safe,Etherscan
1216,7,Safe,Etherscan
1260,38,Safe,Etherscan
1302,7,Safe,Etherscan
1311,30,Safe,Etherscan
1343,25,Safe,Etherscan
1370,11,Safe,Etherscan
1383,7,Safe,Etherscan
1392,7,Safe,Etherscan
1403,7,Safe,Etherscan
1412,13,Safe,Etherscan
1427,7,Safe,Etherscan
1436,13,Safe,Etherscan
1451,10,Safe,Etherscan
1463,18,Safe,Etherscan
1484,5,Safe,Etherscan
1524,10,Safe,Etherscan
1538,13,Safe,Etherscan
1553,33,Safe,Etherscan
1588,9,Safe,Etherscan
1599,9,Safe,Etherscan
1610,8,Safe,Etherscan
1620,10,Safe,Etherscan
1634,14,Safe,Etherscan
1650,27,Safe,Etherscan
1679,7,Safe,Etherscan
1690,7,Safe,Etherscan
1699,13,Safe,Etherscan
1714,7,Safe,Etherscan
1723,14,Safe,Etherscan
1739,19,Safe,Etherscan
1760,24,Safe,Etherscan
1786,26,Safe,Etherscan
1814,54,Safe,Etherscan
1870,48,Safe,Etherscan
1920,14,Safe,Etherscan
1936,10,Safe,Etherscan
1948,21,Safe,Etherscan
1971,37,Safe,Etherscan
2012,12,Safe,Etherscan
2026,11,Safe,Etherscan
2039,29,Safe,Etherscan
2070,15,Safe,Etherscan
2087,13,Safe,Etherscan
2102,24,Safe,Etherscan
2129,4,Safe,Etherscan
2134,4,Safe,Etherscan
2139,14,Safe,Etherscan
2154,4,Safe,Etherscan
2163,3,Safe,Etherscan
2169,3,Safe,Etherscan
2175,3,Safe,Etherscan
2181,3,Safe,Etherscan
2256,24,Safe,Etherscan
2282,10,Safe,Etherscan
2294,10,Safe,Etherscan
2306,8,Safe,Etherscan
2316,11,Safe,Etherscan
2329,10,Safe,Etherscan
2341,9,Safe,Etherscan
2352,45,Safe,Etherscan
2399,21,Safe,Etherscan
2422,28,Safe,Etherscan
2452,31,Safe,Etherscan
2485,15,Safe,Etherscan
2502,7,Safe,Etherscan
2511,7,Safe,Etherscan
2520,15,Safe,Etherscan
2537,7,Safe,Etherscan
2546,7,Safe,Etherscan
2555,15,Safe,Etherscan
2572,18,Safe,Etherscan
2592,22,Safe,Etherscan
2616,47,Safe,Etherscan
2664,5,Safe,Etherscan
2670,5,Safe,Etherscan
2676,4,Safe,Etherscan
2683,3,Safe,Etherscan
2689,3,Safe,Etherscan
2695,3,Safe,Etherscan
2701,3,Safe,Etherscan
2707,3,Safe,Etherscan
2713,3,Safe,Etherscan
2719,3,Safe,Etherscan
2742,16,Safe,Etherscan
2761,7,Safe,Etherscan
2769,7,Safe,Etherscan
2780,16,Safe,Etherscan
2798,15,Safe,Etherscan
2815,20,Safe,Etherscan
2837,19,Safe,Etherscan
2858,15,Safe,Etherscan
2875,14,Safe,Etherscan
2891,18,Safe,Etherscan
2911,17,Safe,Etherscan
2930,14,Safe,Etherscan
2946,9,Safe,Etherscan
2957,9,Safe,Etherscan
2969,7,Safe,Etherscan
2979,7,Safe,Etherscan
2987,4,Safe,Etherscan
2996,3,Safe,Etherscan
3002,3,Safe,Etherscan
3008,3,Safe,Etherscan
3014,3,Safe,Etherscan
