loc,length,bug type,approach
40,4,Safe,Etherscan
45,4,Safe,Etherscan
59,9,Safe,Etherscan
69,11,Safe,Etherscan
81,3,Safe,Etherscan
85,3,Safe,Etherscan
89,3,Safe,Etherscan
93,5,Safe,Etherscan
99,5,Safe,Etherscan
105,6,Safe,Etherscan
112,5,Safe,Etherscan
118,14,Safe,Etherscan
133,12,Safe,Etherscan
146,13,Safe,Etherscan
160,8,Safe,Etherscan
169,5,Safe,Etherscan
175,7,Safe,Etherscan
183,4,Safe,Etherscan
188,7,Reentrancy,Etherscan
196,17,Safe,Etherscan
214,4,Safe,Etherscan
219,4,Safe,Etherscan
224,4,Safe,Etherscan
229,4,time_manipulation,Etherscan
234,5,Safe,Etherscan
240,5,Safe,Etherscan
246,5,Safe,Etherscan
252,3,time_manipulation,Etherscan
256,3,time_manipulation,Etherscan
260,3,Safe,Etherscan
264,44,time_manipulation,Etherscan
309,35,time_manipulation,Etherscan
345,60,time_manipulation,Etherscan
406,3,Safe,Etherscan
410,5,Safe,Etherscan
416,4,Safe,Etherscan
421,5,Safe,Etherscan
427,6,Safe,Etherscan
434,15,Reentrancy,Etherscan
450,16,Reentrancy,Etherscan
467,30,Safe,Etherscan
