loc,length,bug type,approach
4,5,Safe,Etherscan
10,6,Safe,Etherscan
17,4,Safe,Etherscan
22,5,Safe,Etherscan
28,3,Safe,Etherscan
32,3,Safe,Etherscan
36,3,Safe,Etherscan
40,3,Safe,Etherscan
44,5,Safe,Etherscan
52,4,Safe,Etherscan
59,3,Safe,Etherscan
65,3,Safe,Etherscan
69,5,Safe,Etherscan
84,4,Safe,Etherscan
89,4,Safe,Etherscan
95,3,Safe,Etherscan
100,3,Safe,Etherscan
118,6,Safe,Etherscan
124,18,Safe,Etherscan
147,4,Safe,Etherscan
163,4,Safe,Etherscan
167,4,Safe,Etherscan
171,4,Safe,Etherscan
175,6,Safe,Etherscan
181,5,Safe,Etherscan
186,5,Safe,Etherscan
191,13,unchecked_low_calls,Etherscan
205,7,unchecked_low_calls,Etherscan
212,5,unchecked_low_calls,Etherscan
