loc,length,bug type,approach
6,3,Safe,Etherscan
10,4,Safe,Etherscan
15,5,Safe,Etherscan
28,4,Safe,Etherscan
33,4,Safe,Etherscan
38,5,Safe,Etherscan
44,5,Safe,Etherscan
60,4,Safe,Etherscan
65,4,Safe,Etherscan
70,4,Safe,Etherscan
75,8,Safe,Etherscan
84,5,Safe,Etherscan
90,5,Safe,Etherscan
96,5,Safe,Etherscan
102,4,Safe,Etherscan
107,4,Safe,Etherscan
112,3,Safe,Etherscan
116,3,Safe,Etherscan
157,10,Safe,Etherscan
168,4,Safe,Etherscan
173,3,Safe,Etherscan
177,3,Safe,Etherscan
181,12,Safe,Etherscan
193,14,Safe,Etherscan
272,16,Safe,Etherscan
315,6,Safe,Etherscan
322,3,Safe,Etherscan
326,3,Safe,Etherscan
330,9,Safe,Etherscan
340,3,Safe,Etherscan
344,3,Safe,Etherscan
351,3,Safe,Etherscan
355,14,Safe,Etherscan
370,13,Safe,Etherscan
384,15,Safe,Etherscan
400,3,Safe,Etherscan
404,9,Safe,Etherscan
418,23,Safe,Etherscan
442,18,Safe,Etherscan
461,14,Safe,Etherscan
476,8,Safe,Etherscan
485,16,Safe,Etherscan
513,3,Safe,Etherscan
517,9,Safe,Etherscan
527,7,Safe,Etherscan
535,11,Safe,Etherscan
547,3,Safe,Etherscan
551,5,Safe,Etherscan
557,3,Safe,Etherscan
561,4,Safe,Etherscan
570,3,Safe,Etherscan
574,11,Safe,Etherscan
586,6,Safe,Etherscan
593,7,Safe,Etherscan
601,4,Safe,Etherscan
622,7,Safe,Etherscan
630,8,Safe,Etherscan
639,5,Safe,Etherscan
645,4,Safe,Etherscan
650,5,Safe,Etherscan
656,6,Safe,Etherscan
663,3,Safe,Etherscan
667,7,Safe,Etherscan
677,14,Safe,Etherscan
692,9,Safe,Etherscan
702,9,Safe,Etherscan
725,5,Safe,Etherscan
731,4,Safe,Etherscan
736,17,Safe,Etherscan
754,4,Safe,Etherscan
759,15,Safe,Etherscan
777,7,Safe,Etherscan
785,20,Safe,Etherscan
806,7,Safe,Etherscan
814,18,Safe,Etherscan
833,4,Safe,Etherscan
856,6,Safe,Etherscan
863,4,Safe,Etherscan
868,6,Safe,Etherscan
874,3,Safe,Etherscan
913,3,Safe,Etherscan
921,4,Safe,Etherscan
930,4,Safe,Etherscan
939,15,Safe,Etherscan
956,5,Safe,Etherscan
964,60,Safe,Etherscan
1027,3,Safe,Etherscan
1033,3,Safe,Etherscan
1041,21,Safe,Etherscan
1067,36,Safe,Etherscan
1106,8,Safe,Etherscan
1132,8,Safe,Etherscan
1145,11,unchecked_low_calls,Etherscan
1164,27,Safe,Etherscan
1195,9,Safe,Etherscan
1210,9,Safe,Etherscan
1224,9,Safe,Etherscan
1236,21,Safe,Etherscan
1260,9,Safe,Etherscan
1283,2,Safe,Etherscan
1292,26,Safe,Etherscan
1321,9,Safe,Etherscan
1360,7,Safe,Etherscan
1368,25,Safe,Etherscan
1394,7,Safe,Etherscan
1405,9,unchecked_low_calls,Etherscan
1416,9,Safe,Etherscan
1426,9,Safe,Etherscan
1436,23,Safe,Etherscan
1460,9,Safe,Etherscan
1474,3,Safe,Etherscan
1478,3,Safe,Etherscan
1482,16,Safe,Etherscan
1499,7,Safe,Etherscan
1507,30,Safe,Etherscan
1538,3,Safe,Etherscan
1542,18,Safe,Etherscan
1561,19,Safe,Etherscan
1581,3,Safe,Etherscan
