loc,length,bug type,approach
29,4,Safe,Etherscan
34,6,Safe,Etherscan
41,6,Safe,Etherscan
48,4,Safe,Etherscan
53,11,Safe,Etherscan
76,13,Safe,Etherscan
95,3,Safe,Etherscan
99,3,Safe,Etherscan
103,4,Safe,Etherscan
108,3,Safe,Etherscan
112,3,Safe,Etherscan
115,3,Safe,Etherscan
122,3,Safe,Etherscan
126,3,Safe,Etherscan
130,4,Safe,Etherscan
135,3,Safe,Etherscan
139,3,Safe,Etherscan
142,3,Safe,Etherscan
149,3,Safe,Etherscan
152,3,Safe,Etherscan
160,3,Safe,Etherscan
164,3,Safe,Etherscan
168,3,Safe,Etherscan
172,3,Safe,Etherscan
176,3,Safe,Etherscan
179,3,Safe,Etherscan
187,3,Safe,Etherscan
191,3,Safe,Etherscan
195,3,Safe,Etherscan
199,3,Safe,Etherscan
203,26,Safe,Etherscan
230,3,Safe,Etherscan
233,3,Safe,Etherscan
237,3,Safe,Etherscan
251,6,Safe,Etherscan
258,7,Safe,Etherscan
266,8,unchecked_low_calls,Etherscan
275,6,Safe,Etherscan
