loc,length,bug type,approach
22,4,Safe,Etherscan
27,5,Safe,Etherscan
40,4,Safe,Etherscan
44,4,Safe,Etherscan
59,3,Safe,Etherscan
95,3,Safe,Etherscan
100,3,Safe,Etherscan
105,3,Safe,Etherscan
110,3,Safe,Etherscan
115,11,Safe,Etherscan
128,11,unchecked_low_calls,Etherscan
141,3,Safe,Etherscan
146,3,Safe,Etherscan
151,3,Safe,Etherscan
176,8,Safe,Etherscan
188,3,Safe,Etherscan
193,3,Safe,Etherscan
200,5,Safe,Etherscan
209,10,Safe,Etherscan
221,19,Safe,Etherscan
244,6,Safe,Etherscan
252,5,Safe,Etherscan
261,7,Safe,Etherscan
332,9,Safe,Etherscan
343,20,Safe,Etherscan
365,10,Safe,Etherscan
377,10,Safe,Etherscan
389,10,Safe,Etherscan
401,8,Safe,Etherscan
411,8,Safe,Etherscan
421,21,Safe,Etherscan
444,20,Safe,Etherscan
466,21,unchecked_low_calls,Etherscan
489,13,Safe,Etherscan
504,5,Safe,Etherscan
511,10,Safe,Etherscan
523,21,unchecked_low_calls,Etherscan
550,3,Safe,Etherscan
555,16,Safe,Etherscan
