loc,length,bug type,approach
10,13,Safe,Etherscan
25,7,Safe,Etherscan
34,6,Safe,Etherscan
42,6,Safe,Etherscan
50,4,Safe,Etherscan
77,7,Safe,Etherscan
86,7,Safe,Etherscan
95,8,Safe,Etherscan
105,14,Safe,Etherscan
121,7,Safe,Etherscan
130,7,Safe,Etherscan
139,8,Safe,Etherscan
149,13,Safe,Etherscan
164,7,Safe,Etherscan
173,7,Safe,Etherscan
182,7,Safe,Etherscan
191,13,Safe,Etherscan
217,7,Safe,Etherscan
226,7,Safe,Etherscan
235,8,Safe,Etherscan
244,5,Safe,Etherscan
266,8,Safe,Etherscan
276,8,Safe,Etherscan
286,8,Safe,Etherscan
296,8,Safe,Etherscan
306,10,Safe,Etherscan
333,7,Safe,Etherscan
344,7,Safe,Etherscan
354,5,Safe,Etherscan
377,4,Safe,Etherscan
385,6,Safe,Etherscan
393,6,Safe,Etherscan
410,4,Safe,Etherscan
415,7,Safe,Etherscan
423,6,Safe,Etherscan
430,27,Safe,Etherscan
458,34,Safe,Etherscan
493,4,Safe,Etherscan
513,7,Safe,Etherscan
521,7,Safe,Etherscan
529,6,Safe,Etherscan
536,4,Safe,Etherscan
541,7,Safe,Etherscan
549,8,Safe,Etherscan
569,6,Safe,Etherscan
581,26,unchecked_low_calls,Etherscan
631,14,Safe,Etherscan
649,7,Safe,Etherscan
658,7,Safe,Etherscan
669,7,Safe,Etherscan
677,23,Safe,Etherscan
702,6,Safe,Etherscan
710,8,Safe,Etherscan
720,11,Safe,Etherscan
736,3,Safe,Etherscan
742,3,Safe,Etherscan
748,3,Safe,Etherscan
771,16,Safe,Etherscan
790,7,Safe,Etherscan
798,7,Safe,Etherscan
809,16,Safe,Etherscan
827,15,Safe,Etherscan
844,20,Safe,Etherscan
866,19,Safe,Etherscan
887,15,Safe,Etherscan
904,14,Safe,Etherscan
920,18,Safe,Etherscan
940,17,Safe,Etherscan
959,14,Safe,Etherscan
975,9,Safe,Etherscan
986,9,Safe,Etherscan
998,7,Safe,Etherscan
1008,7,Safe,Etherscan
1016,4,Safe,Etherscan
1025,3,Safe,Etherscan
1031,3,Safe,Etherscan
1037,3,Safe,Etherscan
1043,3,Safe,Etherscan
1058,5,Safe,Etherscan
1064,5,Safe,Etherscan
1101,6,Safe,Etherscan
1111,7,Safe,Etherscan
1123,7,Safe,Etherscan
1132,7,Safe,Etherscan
1141,7,Safe,Etherscan
1150,7,Safe,Etherscan
1159,7,Safe,Etherscan
1168,13,Safe,Etherscan
1183,11,Safe,Etherscan
1196,7,Safe,Etherscan
1205,7,Safe,Etherscan
1217,7,Safe,Etherscan
1226,9,Safe,Etherscan
1237,27,Safe,Etherscan
1266,10,Safe,Etherscan
1278,27,Safe,Etherscan
1357,5,Safe,Etherscan
1366,7,Safe,Etherscan
1375,6,Safe,Etherscan
1383,6,Safe,Etherscan
1391,6,Safe,Etherscan
1399,6,Safe,Etherscan
1407,6,Safe,Etherscan
1415,8,Safe,Etherscan
1425,11,Safe,Etherscan
1438,51,Safe,Etherscan
1493,7,Safe,Etherscan
1502,7,Safe,Etherscan
1511,7,Safe,Etherscan
1555,38,Safe,Etherscan
1597,7,Safe,Etherscan
1606,30,Safe,Etherscan
1638,25,Safe,Etherscan
1665,11,Safe,Etherscan
1678,7,Safe,Etherscan
1687,7,Safe,Etherscan
1698,7,Safe,Etherscan
1707,13,Safe,Etherscan
1722,7,Safe,Etherscan
1731,13,Safe,Etherscan
1746,10,Safe,Etherscan
1758,18,Safe,Etherscan
1779,5,Safe,Etherscan
1819,10,Safe,Etherscan
1833,13,Safe,Etherscan
1848,33,Safe,Etherscan
1883,9,Safe,Etherscan
1894,9,Safe,Etherscan
1905,8,Safe,Etherscan
1915,10,Safe,Etherscan
1929,14,Safe,Etherscan
1945,27,Safe,Etherscan
1974,7,Safe,Etherscan
1985,7,Safe,Etherscan
1994,13,Safe,Etherscan
2009,7,Safe,Etherscan
2018,14,Safe,Etherscan
2034,19,Safe,Etherscan
2055,24,Safe,Etherscan
2081,26,Safe,Etherscan
2109,54,Safe,Etherscan
2165,48,Safe,Etherscan
2215,14,Safe,Etherscan
2231,10,Safe,Etherscan
2243,21,Safe,Etherscan
2266,37,Safe,Etherscan
2307,12,Safe,Etherscan
2321,11,Safe,Etherscan
2334,29,Safe,Etherscan
2365,15,Safe,Etherscan
2382,13,Safe,Etherscan
2397,24,Safe,Etherscan
2424,4,Safe,Etherscan
2429,4,Safe,Etherscan
2434,14,Safe,Etherscan
2449,4,Safe,Etherscan
2458,3,Safe,Etherscan
2464,3,Safe,Etherscan
2470,3,Safe,Etherscan
2476,3,Safe,Etherscan
2551,24,Safe,Etherscan
2577,10,Safe,Etherscan
2589,10,Safe,Etherscan
2601,8,Safe,Etherscan
2611,11,Safe,Etherscan
2624,10,Safe,Etherscan
2636,9,Safe,Etherscan
2647,45,Safe,Etherscan
2694,21,Safe,Etherscan
2717,28,Safe,Etherscan
2747,31,Safe,Etherscan
2780,15,Safe,Etherscan
2797,7,Safe,Etherscan
2806,7,Safe,Etherscan
2815,15,Safe,Etherscan
2832,7,Safe,Etherscan
2841,7,Safe,Etherscan
2850,15,Safe,Etherscan
2867,18,Safe,Etherscan
2887,22,Safe,Etherscan
2911,47,Safe,Etherscan
2959,5,Safe,Etherscan
2965,5,Safe,Etherscan
2971,4,Safe,Etherscan
2978,3,Safe,Etherscan
2984,3,Safe,Etherscan
2990,3,Safe,Etherscan
2996,3,Safe,Etherscan
3002,3,Safe,Etherscan
3008,3,Safe,Etherscan
3014,3,Safe,Etherscan
